fj_article,wikidata,wikidata_label,DOI
https://w3id.org/reproduceme/article_501,http://www.wikidata.org/entity/Q125343205,Pangenome-wide analysis of cyclic nucleotide-gated channel (CNGC) gene family in citrus Spp. Revealed their intraspecies diversity and potential roles in abiotic stress tolerance,10.3389/FGENE.2022.1034921
https://w3id.org/reproduceme/article_2819,http://www.wikidata.org/entity/Q64108197,IsoProt: A Complete and Reproducible Workflow To Analyze iTRAQ/TMT Experiments,10.1021/ACS.JPROTEOME.8B00968
https://w3id.org/reproduceme/article_638,http://www.wikidata.org/entity/Q114061419,Using Jupyter Notebooks for re-training machine learning models,10.1186/S13321-022-00635-2
https://w3id.org/reproduceme/article_2371,http://www.wikidata.org/entity/Q93339281,QIIME 2 Enables Comprehensive End-to-End Analysis of Diverse Microbiome Data and Comparative Studies with Publicly Available Data,10.1002/CPBI.100
https://w3id.org/reproduceme/article_327,http://www.wikidata.org/entity/Q125341534,Machine learning cardiac-MRI features predict mortality in newly diagnosed pulmonary arterial hypertension,10.1093/EHJDH/ZTAC022
https://w3id.org/reproduceme/article_155,http://www.wikidata.org/entity/Q125341539,BLTSA: pseudotime prediction for single cells by branched local tangent space alignment,10.1093/BIOINFORMATICS/BTAD054
https://w3id.org/reproduceme/article_2859,http://www.wikidata.org/entity/Q64251797,Predicting Blood⁻Brain Barrier Permeability of Marine-Derived Kinase Inhibitors Using Ensemble Classifiers Reveals Potential Hits for Neurodegenerative Disorders,10.3390/MD17020081
https://w3id.org/reproduceme/article_472,http://www.wikidata.org/entity/Q125341034,Combining mass spectrometry and machine learning to discover bioactive peptides,10.1038/S41467-022-34031-Z
https://w3id.org/reproduceme/article_109,http://www.wikidata.org/entity/Q125344670,A cloud-based pipeline for analysis of FHIR and long-read data,10.1093/BIOADV/VBAC095
https://w3id.org/reproduceme/article_1253,http://www.wikidata.org/entity/Q111151243,MiRNA-Regulated Pathways for Hypertrophic Cardiomyopathy: Network-Based Approach to Insight into Pathogenesis,10.3390/GENES12122016
https://w3id.org/reproduceme/article_175,http://www.wikidata.org/entity/Q125341746,A practical guide to deep-learning light-field microscopy for 3D imaging of biological dynamics,10.1016/J.XPRO.2023.102078
https://w3id.org/reproduceme/article_2292,http://www.wikidata.org/entity/Q96222884,cando.py: Open source software for predictive bioanalytics of large scale drug-protein-disease data,10.1021/ACS.JCIM.0C00110
https://w3id.org/reproduceme/article_2557,http://www.wikidata.org/entity/Q92074950,Kinetic Modeling of the Genetic Information Processes in a Minimal Cell,10.3389/FMOLB.2019.00130
https://w3id.org/reproduceme/article_2742,http://www.wikidata.org/entity/Q64053806,Host diet and evolutionary history explain different aspects of gut microbiome diversity among vertebrate clades,10.1038/S41467-019-10191-3
https://w3id.org/reproduceme/article_1319,http://www.wikidata.org/entity/Q111150069,CoRe: a robustly benchmarked R package for identifying core-fitness genes in genome-wide pooled CRISPR-Cas9 screens,10.1186/S12864-021-08129-5
https://w3id.org/reproduceme/article_748,http://www.wikidata.org/entity/Q125341983,Structure and Conservation of Amyloid Spines From the Candida albicans Als5 Adhesin,10.3389/FMOLB.2022.926959
https://w3id.org/reproduceme/article_3407,http://www.wikidata.org/entity/Q35687027,A Diffusive Homeostatic Signal Maintains Neural Heterogeneity and Responsiveness in Cortical Networks,10.1371/JOURNAL.PCBI.1004389
https://w3id.org/reproduceme/article_777,http://www.wikidata.org/entity/Q125341008,Branched actin networks are organized for asymmetric force production during clathrin-mediated endocytosis in mammalian cells,10.1038/S41467-022-31207-5
https://w3id.org/reproduceme/article_1353,http://www.wikidata.org/entity/Q111151645,Fast and accurate annotation of acoustic signals with deep neural networks,10.7554/ELIFE.68837
https://w3id.org/reproduceme/article_1518,http://www.wikidata.org/entity/Q108127125,LiquidCNA: Tracking subclonal evolution from longitudinal liquid biopsies using somatic copy number alterations,10.1016/J.ISCI.2021.102889
https://w3id.org/reproduceme/article_1176,http://www.wikidata.org/entity/Q111151073,"RipetaScore: Measuring the Quality, Transparency, and Trustworthiness of a Scientific Work",10.3389/FRMA.2021.751734
https://w3id.org/reproduceme/article_3315,http://www.wikidata.org/entity/Q27320867,Linear mixed model for heritability estimation that explicitly addresses environmental variation,10.1073/PNAS.1510497113
https://w3id.org/reproduceme/article_1845,http://www.wikidata.org/entity/Q112723069,Unraveling the features of somatic transposition in the Drosophila intestine,10.15252/EMBJ.2020106388
https://w3id.org/reproduceme/article_1956,http://www.wikidata.org/entity/Q108126755,Rapid discovery of novel prophages using biological feature engineering and machine learning,10.1093/NARGAB/LQAA109
https://w3id.org/reproduceme/article_2126,http://www.wikidata.org/entity/Q100477850,Integrating Genomics and Clinical Data for Statistical Analysis by Using GEnome MINIng (GEMINI) and Fast Healthcare Interoperability Resources (FHIR): System Design and Implementation,10.2196/19879
https://w3id.org/reproduceme/article_3462,http://www.wikidata.org/entity/Q34995691,Advancing our understanding of the human microbiome using QIIME,10.1016/B978-0-12-407863-5.00019-8
https://w3id.org/reproduceme/article_1036,http://www.wikidata.org/entity/Q112283501,A collaborative semantic-based provenance management platform for reproducibility,10.7717/PEERJ-CS.921
https://w3id.org/reproduceme/article_1797,http://www.wikidata.org/entity/Q108126760,Abstracting mobility flows from bike-sharing systems,10.1007/S12469-020-00259-5
https://w3id.org/reproduceme/article_100,http://www.wikidata.org/entity/Q125345676,AerialWaste dataset for landfill discovery in aerial and satellite images,10.1038/S41597-023-01976-9
https://w3id.org/reproduceme/article_1277,http://www.wikidata.org/entity/Q111149701,Accurate detection of circulating tumor DNA using nanopore consensus sequencing,10.1038/S41525-021-00272-Y
https://w3id.org/reproduceme/article_1706,http://www.wikidata.org/entity/Q111149614,Computational generation of proteins with predetermined three-dimensional shapes using ProteinSolver,10.1016/J.XPRO.2021.100505
https://w3id.org/reproduceme/article_1133,http://www.wikidata.org/entity/Q111150078,Evaluating semantic similarity methods for comparison of text-derived phenotype profiles,10.1186/S12911-022-01770-4
https://w3id.org/reproduceme/article_241,http://www.wikidata.org/entity/Q125344480,Longitudinal data collection to follow social network and language development dynamics at preschool,10.1038/S41597-022-01756-X
https://w3id.org/reproduceme/article_380,http://www.wikidata.org/entity/Q125343099,Characterization of degradation patterns and enzymatic properties of a novel alkali-resistant alginate lyase AlyRm1 from Rubrivirga marina,10.1016/J.CRFS.2022.100414
https://w3id.org/reproduceme/article_3053,http://www.wikidata.org/entity/Q112283871,Building an Open Health Data Analytics Platform: a Case Study Examining Relationships and Trends in Seniority and Performance in Healthcare Providers,10.1007/S41666-018-0014-0
https://w3id.org/reproduceme/article_2585,http://www.wikidata.org/entity/Q91061122,"Sex, obesity, diabetes, and exposure to particulate matter among patients with severe asthma: Scientific insights from a comparative analysis of open clinical data sources during a five-day hackathon",10.1016/J.JBI.2019.103325
https://w3id.org/reproduceme/article_2368,http://www.wikidata.org/entity/Q95272303,"FluentDNA: Nucleotide Visualization of Whole Genomes, Annotations, and Alignments",10.3389/FGENE.2020.00292
https://w3id.org/reproduceme/article_2746,http://www.wikidata.org/entity/Q64054050,rstoolbox - a Python library for large-scale analysis of computational protein design data and structural bioinformatics,10.1186/S12859-019-2796-3
https://w3id.org/reproduceme/article_2117,http://www.wikidata.org/entity/Q100524185,iModulonDB: a knowledgebase of microbial transcriptional regulation derived from machine learning,10.1093/NAR/GKAA810
https://w3id.org/reproduceme/article_983,http://www.wikidata.org/entity/Q112276573,The Host-Microbiome Response to Hyperbaric Oxygen Therapy in Ulcerative Colitis Patients,10.1016/J.JCMGH.2022.03.008
https://w3id.org/reproduceme/article_3161,http://www.wikidata.org/entity/Q42118116,Accuracy of microbial community diversity estimated by closed- and open-reference OTUs,10.7717/PEERJ.3889
https://w3id.org/reproduceme/article_1107,http://www.wikidata.org/entity/Q111150070,Computational identification of clonal cells in single-cell CRISPR screens,10.1186/S12864-022-08359-1
https://w3id.org/reproduceme/article_2488,http://www.wikidata.org/entity/Q93011474,Organ-level protein networks as a reference for the host effects of the microbiome,10.1101/GR.256875.119
https://w3id.org/reproduceme/article_2868,http://www.wikidata.org/entity/Q61446870,CaImAn an open source tool for scalable calcium imaging data analysis,10.7554/ELIFE.38173
https://w3id.org/reproduceme/article_2052,http://www.wikidata.org/entity/Q101573380,Characteristics of sequential activity in networks with temporally asymmetric Hebbian learning,10.1073/PNAS.1918674117
https://w3id.org/reproduceme/article_502,http://www.wikidata.org/entity/Q116541526,Why isn’t each cell its own cell type? Diminishing returns of increasing cell type diversity can explain cell type allometry,10.3389/FCELL.2022.971721
https://w3id.org/reproduceme/article_3112,http://www.wikidata.org/entity/Q48188855,Machine Learning Leveraging Genomes from Metagenomes Identifies Influential Antibiotic Resistance Genes in the Infant Gut Microbiome.,10.1128/MSYSTEMS.00123-17
https://w3id.org/reproduceme/article_2911,http://www.wikidata.org/entity/Q59803620,Helmsman: fast and efficient mutation signature analysis for massive sequencing datasets,10.1186/S12864-018-5264-Y
https://w3id.org/reproduceme/article_2213,http://www.wikidata.org/entity/Q96764994,Municipal wastewater surveillance reveals high community disease burden of rarely reported and possibly subclinical Salmonella Derby strain,10.1128/AEM.00814-20
https://w3id.org/reproduceme/article_513,http://www.wikidata.org/entity/Q125345346,Generation of Flag/DYKDDDDK Epitope Tag Knock-In Mice Using i-GONAD Enables Detection of Endogenous CaMKIIα and β Proteins,10.3390/IJMS231911915
https://w3id.org/reproduceme/article_679,http://www.wikidata.org/entity/Q125002703,Shared genetic susceptibility between trigger finger and carpal tunnel syndrome: a genome-wide association study,10.1016/S2665-9913(22)00180-1
https://w3id.org/reproduceme/article_1219,http://www.wikidata.org/entity/Q111149691,Grainyhead 1 acts as a drug-inducible conserved transcriptional regulator linked to insulin signaling and lifespan,10.1038/S41467-021-27732-4
https://w3id.org/reproduceme/article_3169,http://www.wikidata.org/entity/Q41245387,Machine-learned and codified synthesis parameters of oxide materials,10.1038/SDATA.2017.127
https://w3id.org/reproduceme/article_1377,http://www.wikidata.org/entity/Q111150139,Deep learning allows genome-scale prediction of Michaelis constants from structural features,10.1371/JOURNAL.PBIO.3001402
https://w3id.org/reproduceme/article_1704,http://www.wikidata.org/entity/Q111149802,Subcellular proteomics,10.1038/S43586-021-00029-Y
https://w3id.org/reproduceme/article_1882,http://www.wikidata.org/entity/Q108126727,"Genomic Insights into Adaptations of Trimethylamine-Utilizing Methanogens to Diverse Habitats, Including the Human Gut",10.1128/MSYSTEMS.00939-20
https://w3id.org/reproduceme/article_1596,http://www.wikidata.org/entity/Q108127194,Identification and Evolution of Cas9 tracrRNAs,10.1089/CRISPR.2020.0093
https://w3id.org/reproduceme/article_1508,http://www.wikidata.org/entity/Q108127212,Retrospective cell lineage reconstruction in humans by using short tandem repeats,10.1016/J.CRMETH.2021.100054
https://w3id.org/reproduceme/article_646,http://www.wikidata.org/entity/Q125341804,Structure based design of effective HtpG-derived vaccine antigens against M. tuberculosis,10.3389/FMOLB.2022.964645
https://w3id.org/reproduceme/article_879,http://www.wikidata.org/entity/Q125345031,Complete Sequences of the Velvet Worm Slime Proteins Reveal that Slime Formation is Enabled by Disulfide Bonds and Intrinsically Disordered Regions,10.1002/ADVS.202201444
https://w3id.org/reproduceme/article_99,http://www.wikidata.org/entity/Q117886122,Insulin-like peptide 8 (Ilp8) regulates female fecundity in flies,10.3389/FCELL.2023.1103923
https://w3id.org/reproduceme/article_2168,http://www.wikidata.org/entity/Q99415456,"Rapidly measuring spatial accessibility of COVID-19 healthcare resources: a case study of Illinois, USA",10.1186/S12942-020-00229-X
