fj_article,wikidata,wikidata_label,pmc
https://w3id.org/reproduceme/article_2801,http://www.wikidata.org/entity/Q92565599,No direct effect of SGLT2 activity on glucagon secretion,7212061
https://w3id.org/reproduceme/article_2359,http://www.wikidata.org/entity/Q96615805,COVID-19 detection using deep learning models to exploit Social Mimic Optimization and structured chest X-ray images using fuzzy color and stacking approaches,7202857
https://w3id.org/reproduceme/article_914,http://www.wikidata.org/entity/Q112283332,Off-targetP ML: an open source machine learning framework for off-target panel safety assessment of small molecules,9077900
https://w3id.org/reproduceme/article_2956,http://www.wikidata.org/entity/Q57153367,Did aculeate silk evolve as an antifouling material?,6150510
https://w3id.org/reproduceme/article_2005,http://www.wikidata.org/entity/Q104111320,Computational analysis of neonatal ventilator waveforms and loops,7720788
https://w3id.org/reproduceme/article_979,http://www.wikidata.org/entity/Q112283865,Cell-intrinsic Aryl Hydrocarbon Receptor signalling is required for the resolution of injury-induced colonic stem cells,8983642
https://w3id.org/reproduceme/article_2362,http://www.wikidata.org/entity/Q94551643,Spontaneous formation of autocatalytic sets with self-replicating inorganic metal oxide clusters,7245103
https://w3id.org/reproduceme/article_1797,http://www.wikidata.org/entity/Q108126760,Abstracting mobility flows from bike-sharing systems,7961174
https://w3id.org/reproduceme/article_1954,http://www.wikidata.org/entity/Q108126775,pyFOOMB: Python framework for object oriented modeling of bioprocesses,7923582
https://w3id.org/reproduceme/article_3040,http://www.wikidata.org/entity/Q55518659,"The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2018 update.",6030816
https://w3id.org/reproduceme/article_3438,http://www.wikidata.org/entity/Q34098286,Multi-tiered genomic analysis of head and neck cancer ties TP53 mutation to 3p loss,4146706
https://w3id.org/reproduceme/article_2303,http://www.wikidata.org/entity/Q96431865,A robust benchmark for detection of germline large deletions and insertions,8454654
https://w3id.org/reproduceme/article_2854,http://www.wikidata.org/entity/Q64247099,Do doctors in dispensing practices with a financial conflict of interest prescribe more expensive drugs? A cross-sectional analysis of English primary care prescribing data,6377511
https://w3id.org/reproduceme/article_3307,http://www.wikidata.org/entity/Q31121710,Dramatic Increases of Soil Microbial Functional Gene Diversity at the Treeline Ecotone of Changbai Mountain,4965465
https://w3id.org/reproduceme/article_2287,http://www.wikidata.org/entity/Q94656815,Deep learning approach for quantification of organelles and misfolded polypeptides delivery within degradative compartments,7359569
https://w3id.org/reproduceme/article_2375,http://www.wikidata.org/entity/Q93178919,BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale,7237030
https://w3id.org/reproduceme/article_2271,http://www.wikidata.org/entity/Q97542094,ClonArch: visualizing the spatial clonal architecture of tumors,7355227
https://w3id.org/reproduceme/article_2024,http://www.wikidata.org/entity/Q102388811,A haplotype-led approach to increase the precision of wheat breeding,7689427
https://w3id.org/reproduceme/article_2308,http://www.wikidata.org/entity/Q96229452,Nitrogen Source Governs Community Carbon Metabolism in a Model Hypersaline Benthic Phototrophic Biofilm,7289588
https://w3id.org/reproduceme/article_1703,http://www.wikidata.org/entity/Q112282875,"Brainhack: Developing a culture of open, inclusive, community-driven neuroscience",9153215
https://w3id.org/reproduceme/article_1699,http://www.wikidata.org/entity/Q108127197,VipariNama: RNA viral vectors to rapidly elucidate the relationship between gene expression and phenotype,8331131
https://w3id.org/reproduceme/article_2585,http://www.wikidata.org/entity/Q91061122,"Sex, obesity, diabetes, and exposure to particulate matter among patients with severe asthma: Scientific insights from a comparative analysis of open clinical data sources during a five-day hackathon",6953386
https://w3id.org/reproduceme/article_2366,http://www.wikidata.org/entity/Q94479743,Acute ischaemic stroke alters the brain's preference for distinct dynamic connectivity states,7241954
https://w3id.org/reproduceme/article_3091,http://www.wikidata.org/entity/Q50422070,"Collaborative and Reproducible Research: Goals, Challenges, and Strategies",5959829
https://w3id.org/reproduceme/article_1241,http://www.wikidata.org/entity/Q112283431,Pandemic Teaching: Using the Allen Cell Types Database for Final Semester Projects in an Undergraduate Neurophysiology Lab Course,9053425
https://w3id.org/reproduceme/article_3342,http://www.wikidata.org/entity/Q37198065,Methylome-wide Analysis of Chronic HIV Infection Reveals Five-Year Increase in Biological Age and Epigenetic Targeting of HLA.,4995115
https://w3id.org/reproduceme/article_956,http://www.wikidata.org/entity/Q112701807,An optimized FusX assembly-based technique to introduce mitochondrial TC-to-TT variations in human cell lines,9038556
https://w3id.org/reproduceme/article_972,http://www.wikidata.org/entity/Q112283828,Deciphering Bitcoin Blockchain Data by Cohort Analysis,8989952
https://w3id.org/reproduceme/article_3324,http://www.wikidata.org/entity/Q37109413,A large field of view two-photon mesoscope with subcellular resolution for in vivo imaging,4951199
https://w3id.org/reproduceme/article_2334,http://www.wikidata.org/entity/Q95831800,"Nextmed: Automatic Imaging Segmentation, 3D Reconstruction, and 3D Model Visualization Platform Using Augmented and Virtual Reality",7288297
https://w3id.org/reproduceme/article_1852,http://www.wikidata.org/entity/Q108127172,Accelerating with FlyBrainLab the discovery of the functional logic of the brain in the connectomic and synaptomic era,8016480
https://w3id.org/reproduceme/article_3207,http://www.wikidata.org/entity/Q36409026,Designing Drug-Response Experiments and Quantifying their Results.,5729909
https://w3id.org/reproduceme/article_3151,http://www.wikidata.org/entity/Q55501031,Slow Cooling of Hot Polarons in Halide Perovskite Solar Cells.,5727468
https://w3id.org/reproduceme/article_2613,http://www.wikidata.org/entity/Q90413997,Estimating influenza incidence using search query deceptiveness and generalized ridge regression,6771994
https://w3id.org/reproduceme/article_2432,http://www.wikidata.org/entity/Q90457588,CIViCpy: A Python Software Development and Analysis Toolkit for the CIViC Knowledgebase,7113080
https://w3id.org/reproduceme/article_1991,http://www.wikidata.org/entity/Q104484126,Using deep reinforcement learning to reveal how the brain encodes abstract state-space representations in high-dimensional environments,7897245
https://w3id.org/reproduceme/article_2953,http://www.wikidata.org/entity/Q57074760,No Discrete Start/Stop Signals in the Dorsal Striatum of Mice Performing a Learned Action,6231539
https://w3id.org/reproduceme/article_983,http://www.wikidata.org/entity/Q112276573,The Host-Microbiome Response to Hyperbaric Oxygen Therapy in Ulcerative Colitis Patients,9117812
