id,journal_id,name,pmid,pmc,publisher_id,doi,subject,published_date,received_date,accepted_date,license_type,copyright_statement,keywords,repositories
11,11,"Autonomous scanning probe microscopy with hypothesis learning: Exploring the physics of domain switching in ferroelectric materials",36960442,10028429,100704,10.1016/j.patter.2023.100704,Article,2023-03-10,2022-10-23,2023-02-09,,"© 2023 The Author(s)","hypothesis learning;automated experiment;scanning probe microscopy;ferroelectrics",https://github.com/ziatdinovmax/gpax
12,12,"EUBUCCO v0.1: European building stock characteristics in a common and open database for 200+ million individual buildings",36941275,10027854,2040,10.1038/s41597-023-02040-2,"Data Descriptor",2023-03-20,2022-05-17,2023-02-22,,"© The Author(s) 2023","Sustainability;Geography;Climate-change mitigation;Climate-change policy",https://github.com/ai4up/eubucco;https://github.com/microsoft/GlobalMLBuildingFootprints
13,13,"multiSyncPy: A Python package for assessing multivariate coordination dynamics",35513768,10027834,1855,10.3758/s13428-022-01855-y,Article,2022-05-05,"","",,"© The Author(s) 2022","Synchrony;Coordination;Dynamics;Interaction;Multivariate methods",https://github.com/racdale/triadic-bodily-synchrony;https://github.com/cslab-hub/multiSyncPy;https://github.com/CMU-Perceptual-Computing-Lab/openpose
14,14,"PhysiCOOL: A generalized framework for model Calibration and Optimization Of modeLing projects",36949818,10027115,77,10.46471/gigabyte.77,"Technical Release",2023-02-28,2022-12-06,2023-02-23,,"© The Author(s) 2023.","",https://github.com/IGGoncalves/PhysiCOOL;https://github.com/samuelcolvin/pydantic
15,15,"FAIR Island: real-world examples of place-based open science",36939006,10025936,giad004,10.1093/gigascience/giad004,Commentary,2023-03-20,2022-11-10,2023-01-24,,"© The Author(s) 2023. Published by Oxford University Press GigaScience.","place-based research;FAIR Principles;CARE Principles;research data infrastructure;data policy;data management plans",""
16,16,"Hierarchical cell-type identifier accurately distinguishes immune-cell subtypes enabling precise profiling of tissue microenvironment with single-cell RNA-sequencing",36681937,10025442,bbad006,10.1093/bib/bbad006,"Problem Solving Protocol","",2022-10-07,2023-01-02,,"© The Author(s) 2023. Published by Oxford University Press.","cell-type identifier;single-cell RNA-seq;hierarchical identification;cell-type markers",https://github.com/combio-dku/HiCAT;https://github.com/combio-dku/RCTIcollection
17,17,"The future of theoretical evolutionary game theory",36934760,10024985,rstb20210508,10.1098/rstb.2021.0508,Articles,2023-05-08,2022-07-04,2022-12-06,,"© 2023 The Authors.","evolutionary game theory;bibliometric data;cooperation",""
18,18,"Spatial transcriptomics using multiplexed deterministic barcoding in tissue",36934108,10024691,37111,10.1038/s41467-023-37111-w,Article,2023-03-18,2022-09-02,2023-03-02,,"© The Author(s) 2023","Gene expression profiling;RNA sequencing;Transcriptomics",https://github.com/jwrth/xDBiT_toolbox;https://github.com/bioFAM/mofax;https://github.com/broadinstitute/Drop-seq;https://github.com/RebekkaWegmann/splitseq_toolbox
19,19,"Analysis: Flawed Datasets of Monkeypox Skin Images",36933065,10024024,1928,10.1007/s10916-023-01928-1,"Original Paper",2023-03-18,2022-12-23,2023-02-26,,"© The Author(s) 2023","Machine learning;Monkeypox;Translational medicine",https://github.com/ieee8023/covid-chestxray-dataset;https://github.com/mahsan2/Monkeypox-dataset-2022;https://github.com/carlosvega/DebunkMonkeypoxML
20,20,"Protocol for differentiation of bovine adipogenic progenitor cells embedded in alginate sheets",36897775,10024048,102143,10.1016/j.xpro.2023.102143,Protocol,2023-03-09,"","",,"© 2023 The Author(s)","Cell Biology;Cell Culture;Cell Isolation;Cell-based Assays;High-throughput Screening;Microscopy;Stem Cells;Cell Differentiation",""
21,21,"Towards automated video-based assessment of dystonia in dyskinetic cerebral palsy: A novel approach using markerless motion tracking and machine learning",36936408,10018017,1108114,10.3389/frobt.2023.1108114,"Robotics and AI",2023-03-02,2022-11-25,2023-02-09,,"Copyright © 2023 Haberfehlner, van de Ven, van der Burg, Huber, Georgievska, Aleo, Harlaar, Bonouvrié, van der Krogt and Buizer.","cerebral palsy;movement disorders;machine learning;motion capture;markerless skeleton tracking;human pose estimation",""
22,22,"Evaluation and deployment of isotype-specific salivary antibody assays for detecting previous SARS-CoV-2 infection in children and adults",36922542,10016188,264,10.1038/s43856-023-00264-2,Article,2023-03-15,2022-05-18,2023-02-17,,"© The Author(s) 2023","SARS-CoV-2;Diagnostic markers;Epidemiology",https://github.com/Bristol-UNCOVER/Saliva_data_ML_analysis
23,23,"fMRIflows: A Consortium of Fully Automatic Univariate and Multivariate fMRI Processing Pipelines",36575327,10014671,935,10.1007/s10548-022-00935-8,"Original Paper",2022-12-27,2022-07-10,2022-12-18,,"© The Author(s) 2022","Python;Neuroimaging;Data processing;Pipeline;Reproducible research",https://github.com/miykael/fmriflows;https://github.com/poldracklab/fitlins
24,5,"Information transfer in mammalian glycan-based communication",36803584,10014076,69415,10.7554/eLife.69415,"Research Article",2023-02-20,2021-04-14,2023-02-19,,"© 2023, Fuchsberger, Kim et al","cell signaling;information theory;glycobiology;Human",https://github.com/imaginationdykim/2022.CC
25,12,"SARS-CoV-2 receptor-binding domain deep mutational AlphaFold2 structures",36918581,10013278,2035,10.1038/s41597-023-02035-z,"Data Descriptor",2023-03-14,2022-12-01,2023-02-20,,"© The Author(s) 2023","Machine learning;Molecular modelling;Nanocrystallography;Data publication and archiving",https://github.com/csabaiBio/RBD-AlphaFold2-structures-and-phenotypic-information
26,18,"Interpretable and context-free deconvolution of multi-scale whole transcriptomic data with UniCell deconvolve",36906603,10008582,36961,10.1038/s41467-023-36961-8,Article,2023-03-11,2022-08-09,2023-02-27,,"© The Author(s) 2023","Machine learning;Computational models;Data integration",https://github.com/dchary/ucdeconvolve_paper;https://github.com/dchary/ucdeconvolve
27,24,"
",36891851,10000803,vl5004,10.1107/S1600577522011705,"Research Papers",2023-03-01,2022-08-10,2022-12-06,,"© Clement Ribart et al. 2023","polycrystalline materials;
;multi-modal synchrotron experiments;diffraction contrast tomography;3DXRD",https://github.com/heprom/pymicro;https://github.com/FABLE-3DXRD/ImageD11
28,25,"Variation of Female Pronucleus Reveals Oocyte or Embryo Chromosomal Copy Number Variations",36910589,10000260,GGN2202200001,10.1002/ggn2.202200001,"Research Article",2022-11-10,2022-01-12,"",,"© 2022 The Authors. Advanced Genetics published by Wiley Periodicals LLC","artificial intelligence;expert experience deep learning;mathematical models;pre‐implantation genetic tests;pronuclei identification",https://github.com/hechaohong/nucleu_areas
29,26,"The Network Zoo: a multilingual package for the inference and analysis of gene regulatory networks",36894939,9999668,2877,10.1186/s13059-023-02877-1,Software,2023-03-09,2022-06-16,2023-02-15,,"© The Author(s) 2023","Gene regulation;Multi-omic analysis;Network biology;Open-source software",https://github.com/netZoo/netZooR
30,27,"Bioinspired Membrane
Interfaces: Controlling Actomyosin
Architecture and Contractility",36848241,9999349,,10.1021/acsami.3c00061,"Research Article",2023-02-27,2023-01-02,2023-02-16,,"© 2023 The Authors. Published by American Chemical Society","actin;ERM proteins;fluorescence microscopy;myosin;supported lipid bilayers",""
31,28,"Enhancer/gene relationships: Need for more reliable genome-wide reference sets",36909938,9999192,1092853,10.3389/fbinf.2023.1092853,Bioinformatics,2023-02-24,2022-11-08,2023-02-07,,"Copyright © 2023 Hoellinger, Mestre, Aschard, Le Goff, Foissac, Faraut and Djebali.","gene expression regulation;identification of enhancer/gene relationships;method evaluation;chromatin structure;eQTL;functional genomic data;genetic screening",https://github.com/broadinstitute/ABC-Enhancer-Gene-Prediction;https://github.com/shwhalen/targetfinder;https://github.com/weng-lab/BENGI;https://github.com/sdjebali/EnhancerGene
32,29,"Deep learning techniques and mathematical modeling allow 3D analysis of mitotic spindle dynamics",36880744,9998659,jcb.202111094,10.1083/jcb.202111094,Tools,2023-05-01,2021-11-22,2023-01-31,,"© 2023 Dang et al.","",https://github.com/Draviam-lab/spinx_local;https://github.com/matterport/Mask_RCNN
33,30,"Aging impacts memory for perceptual, but not narrative, event details",36863768,9987157,LM053740Del,10.1101/lm.053740.122,"Research Paper","",2022-12-16,2023-02-02,,"
","",https://github.com/singmann/afex;https://github.com/aidelarazan/curbage_recognition
34,31,"The IPDGC/GP2 Hackathon - an open science event for training in data science, genomics, and collaboration using Parkinson’s disease data",36871034,9984758,472,10.1038/s41531-023-00472-6,Article,2023-03-04,2022-07-07,2023-02-13,,"© The Author(s) 2023","Conferences and meetings;Genomics",https://github.com/ipdgc/GP2-post-GWAS-analysis;https://github.com/ipdgc/GP2-pathway-enrichment-pipeline;https://github.com/ipdgc/Colocalization-Pipeline;https://github.com/ipdgc/GP2-network-generation;https://github.com/ipdgc/GP2-Variant-Interaction-Pipeline;https://github.com/ipdgc/GP2-visualize-longitudinal-variant-effects
35,32,"MAW: the reproducible ",36871033,9985203,695,10.1186/s13321-023-00695-y,Research,2023-03-04,2022-11-18,2023-02-06,,"© The Author(s) 2023","Untargeted metabolomics;Workflow;Tandem mass spectrometry;FAIR;Metabolite annotation",https://github.com/zmahnoor14/MAW;https://github.com/zmahnoor14/MAW-Benchmark
36,33,"Cyclic peptide structure prediction and design using AlphaFold",36865323,9980166,,10.1101/2023.02.25.529956,Article,2023-02-26,"","",,,"",https://github.com/sokrypton/ColabDesign
37,34,"PrismEXP: gene annotation prediction from stratified gene-gene co-expression matrices",36874981,9979837,14927,10.7717/peerj.14927,Bioinformatics,2023-02-27,2022-10-06,2023-01-30,,"© 2023 Lachmann et al.","Transcriptomics;Gene expression;Gene function predictions;RNA-seq;Unsupervised learning;Druggable genome",https://github.com/maayanlab/prismexp
38,35,"Insights into the structure-function relationship of the NorQ/NorD chaperones from ",36855050,9976466,1546,10.1186/s12915-023-01546-w,"Research Article",2023-02-28,2022-11-19,2023-02-15,,"© The Author(s) 2023","Iron;Nitric oxide reductase;None;VWA;AAA+;ATPase;Fe;Protein remodeling;None;MoxR;Cryo-EM;AlphaFold",""
39,36,"Structural mechanism of CRL4‐instructed STAT2 degradation via a novel cytomegaloviral DCAF receptor",36762436,9975947,EMBJ2022112351,10.15252/embj.2022112351,Article,2023-02-10,2022-08-11,2022-12-21,,"© 2023 The Authors. Published under the terms of the CC BY NC ND 4.0 license.","cullin‐RING ubiquitin ligases;cytomegalovirus;interferon;ubiquitin–proteasome system;viral DCAF;Microbiology, Virology & Host Pathogen Interaction;Post-translational Modifications & Proteolysis;Structural Biology",""
40,37,"The SWIB/MDM2 motif of UBE4B activates the p53 pathway",36865087,9971181,,10.1016/j.omtn.2023.02.002,"Original Article",2023-02-04,2022-09-14,2023-02-01,,"© 2023 The Authors","MT: Oligonucleotides: Therapies and Applications;p53;UBE4B;peptide;G;apoptosis",""
41,38,"Longitudinal study of the short- and long-term effects of hospitalisation and oral trimethoprim-sulfadiazine administration on the equine faecal microbiome and resistome",36850017,9969626,1465,10.1186/s40168-023-01465-6,Research,2023-02-27,2022-06-06,2023-01-10,,"© The Author(s) 2023","Microbiota;Horse;Antimicrobial resistance;Shotgun metagenomic sequencing;Antimicrobial resistance genes;
          ;
          ;
          ;
          ;
          ",https://github.com/aldertzomer/FastDeMe
42,39,"Lessons for
Oral Bioavailability: How Conformationally
Flexible Cyclic Peptides Enter and Cross Lipid Membranes",36762908,9969412,,10.1021/acs.jmedchem.2c01837,Article,2023-02-10,2022-11-09,"",,"© 2023 The Authors. Published by American Chemical Society","",https://github.com/rinikerlab/decapeptides-membrane;https://github.com/schrodinger/pymol-open-source
43,40,"A Highly Expressed Antennae Odorant-Binding Protein Involved in Recognition of Herbivore-Induced Plant Volatiles in ",36834874,9962305,ijms-24-03464,10.3390/ijms24043464,Article,2023-02-09,2022-12-26,2023-02-07,,"© 2023 by the authors.","herbivore-induced plant volatiles;odorant-binding proteins;
          ;binding affinities;behaviorally attractive substances",""
44,41,"A Capsid Protein Fragment of a Fusagra-like Virus Found in ",36851755,9961563,viruses-15-00541,10.3390/v15020541,Article,2023-02-15,2022-12-01,2023-02-13,,"© 2023 by the authors.","
          ;fusagra-like virus;protein–protein interaction;coat protein;dsRNA;plant virus",""
45,40,"In Silico Analysis of the Structural Dynamics and Substrate Recognition Determinants of the Human Mitochondrial Carnitine/Acylcarnitine SLC25A20 Transporter",36835358,9961348,ijms-24-03946,10.3390/ijms24043946,Article,2023-02-15,2022-12-22,2023-02-09,,"© 2023 by the authors.","mitochondrial carriers;SLC25A20;carnitine/acylcarnitine carrier;structural dynamics;substrate recognition;AlphaFold 2;molecular dynamics;molecular docking",https://github.com/forlilab/Meeko
46,42,"Ytterbium-Doped Lead–Halide Perovskite Nanocrystals: Synthesis, Near-Infrared Emission, and Open-Source Machine Learning Model for Prediction of Optical Properties",36839112,9958719,nanomaterials-13-00744,10.3390/nano13040744,Review,2023-02-16,2023-01-15,2023-02-14,,"© 2023 by the authors.","lead–halide perovskite;doping;synthesis;quantum cutting;quantum yield;machine learning;multiple regression",https://github.com/VladislavNexby/ML
47,43,"Mass spectrometry imaging–based assays for aminotransferase activity reveal a broad substrate spectrum for a previously uncharacterized enzyme",36702250,9957770,102939,10.1016/j.jbc.2023.102939,"Research Article",2023-01-24,2022-09-27,"",,,"aminotransferases;mass spectrometry;mass spectrometry imaging;high-throughput screening;enzyme screening;enzyme promiscuity;nanostructure-initiator mass spectrometry;pyridoxal-5′-phosphate–dependent enzyme;AABA, 2-aminobutyric acid;Ala, alanine;Arg, arginine;Asn, asparagine;Asp, aspartic acid;AT, Aminotransferase;None;None;None;Glu, glutamic acid;His, histidine;HTS, high-throughput screening;IPA, indole-3-pyruvic acid;Leu, leucine;Met, methionine;MSI, mass spectrometry imaging;NIMS, nanostructure-initiator mass spectrometry;O-MTY, O-methyl-tyrosine;PLP, Pyridoxal 5′-phosphate;Phe, phenylalanine;Trp, tryptophan;Tyr, tyrosine;ɑ-KG, ɑ-ketoglutarate",https://github.com/biorack/omaat
48,44,"The Evolutionary History of a DNA Methylase Reveals Frequent Horizontal Transfer and Within-Gene Recombination",36833214,9957025,genes-14-00288,10.3390/genes14020288,Article,2023-01-21,2022-12-19,2023-01-19,,"© 2023 by the authors.","actinophage;actinobacteriophage;inteins;LAGLIDADG endonuclease;homing;horizontal gene transfer;DNA methyltransferase;homologous recombination;selfish genetic elements",https://github.com/sophiagosselin/Methylase_Insertions
49,44,"Advances in Vertebrate (Cyto)Genomics Shed New Light on Fish Compositional Genome Evolution",36833171,9956151,genes-14-00244,10.3390/genes14020244,Article,2023-01-17,2022-12-22,2023-01-05,,"© 2023 by the authors.","compositional cytogenomics;AT/GC evolution;GC content;genome evolution;GC landscape pipeline",https://github.com/fvbj/genomeVis
50,45,"Effective Connectivity and Bias Entropy Improve Prediction of Dynamical Regime in Automata Networks",36832740,9955587,entropy-25-00374,10.3390/e25020374,Article,2023-02-18,2022-12-17,2023-02-14,,"© 2023 by the authors.","random Boolean networks;criticality;perturbation spreading;biomolecular networks;Derrida coefficient",https://github.com/fcphysics/CriticalityHeteroBNets;https://github.com/rionbr/CANA
51,46,"Enhanced Preprocessing Approach Using Ensemble Machine Learning Algorithms for Detecting Liver Disease",36831118,9953600,biomedicines-11-00581,10.3390/biomedicines11020581,Article,2023-02-16,2022-12-23,2023-01-31,,"© 2023 by the authors.","liver disease;machine learning;multivariate imputation;feature scaling;ensemble learning;gradient boosting;XGBoost;bagging;random forest;extra tree classifier;stacking",""
52,47,"Role of Alternative Elicitor Transporters in the Onset of Plant Host Colonization by ",36829511,9953190,biology-12-00234,10.3390/biology12020234,Article,2023-02-01,2022-12-31,2023-01-30,,"© 2023 by the authors.","
          ;cello-oligosaccharide;sugar transport;virulence;plant pathogen;elicitor sensing;phytotoxin;virulome;cellulose utilization;secondary metabolism",""
53,48,"An Optimized GATK4 Pipeline for Plasmodium falciparum Whole Genome Sequencing Variant Calling and Analysis",36824880,9949269,,10.21203/rs.3.rs-2561857/v1,Article,2023-02-14,"","",,,"",https://github.com/Karaniare/Optimized_GATK4_pipeline
54,33,"A ",36824927,9949107,,10.1101/2023.02.17.528976,Article,2023-02-18,"","",,,"pheromone;
          ;trade off;transcriptome;germline;senescence",https://github.com/dangeles/Ascr10xomics
55,49,"Dissecting cell identity via network inference and in silico gene perturbation",36755098,9946838,5688,10.1038/s41586-022-05688-9,Article,2023-02-08,2022-01-04,2022-12-28,,"© The Author(s), under exclusive licence to Springer Nature Limited 2023","Gene regulatory networks;Developmental biology",https://github.com/morris-lab/CellOracle;https://github.com/velocyto-team/velocyto.py;https://github.com/theislab/paga;https://github.com/MarioniLab/MouseGastrulationData
56,49,"Early Release Science of the exoplanet WASP-39b with JWST NIRCam",36623551,9946836,5590,10.1038/s41586-022-05590-4,Article,2023-01-09,2022-09-16,2022-11-24,,"© The Author(s) 2023",Exoplanets;Exoplanets,https://github.com/catrionamurray/chromatic_fitting;https://github.com/zkbt/chromatic;https://github.com/spacetelescope/jwst
57,50,"Unmasking of the von Willebrand A-domain surface adhesin CglB at bacterial focal adhesions mediates myxobacterial gliding motility",36812310,9946355,abq0619,10.1126/sciadv.abq0619,"Research Article","",2022-06-29,2023-01-24,,"Copyright © 2023 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works. Distributed under a Creative Commons Attribution NonCommercial License 4.0 (CC BY-NC).","",""
58,14,"MEMO: Monitoring of exotic mosquitoes in Belgium",36824526,9930500,59,10.46471/gigabyte.59,"Data Release",2022-05-26,2022-03-30,2022-05-22,,"© The Author(s) 2022.","",https://github.com/BelgianBiodiversityPlatform/data-publication-ITG
59,51,"Time-varying dynamic network model for dynamic resting state functional connectivity in fMRI and MEG imaging",35337963,9942947,,10.1016/j.neuroimage.2022.119131,Article,2023-02-03,"","",,,"Brain state switch;Dynamic resting state functional connectivity;Change point detection;Functional magnetic resonance;Magnetoencephalography;Multi-modality imaging",https://github.com/feigroup/TVDN
60,18,"Four-dimensional trapped ion mobility spectrometry lipidomics for high throughput clinical profiling of human blood samples",36806650,9941096,36520,10.1038/s41467-023-36520-1,Article,2023-02-20,2022-02-01,2023-02-03,,"© The Author(s) 2023","Mass spectrometry;Lipidomics;Standardization;Biomarkers",https://github.com/kramerlab/lipid_study
61,52,"Low-data interpretable deep learning prediction of antibody viscosity using a biophysically meaningful representation",36806303,9941094,28841,10.1038/s41598-023-28841-4,Article,2023-02-20,2022-10-21,2023-01-25,,"© The Author(s) 2023","Machine learning;Computational models",""
62,53,"Evolution of increased positive charge on the SARS-CoV-2 spike protein may be adaptation to human transmission",36845032,9937996,106230,10.1016/j.isci.2023.106230,Article,2023-02-18,2022-10-07,2023-02-14,,"© 2023 The Author(s)","Evolutionary biology;Virology",https://github.com/mlcotten13/SARS-CoV-2_spike_charge
63,54,"Nucleation of
Biomolecular Condensates from Finite-Sized
Simulations",36758221,9940850,,10.1021/acs.jpclett.2c03512,Letter,2023-02-09,2022-11-17,2023-01-30,,"© 2023 The Authors. Published by American Chemical Society","",https://github.com/mme-ucl/confined_LLPS
64,55,"Translating transcriptomic findings from cancer model systems to humans through joint dimension reduction",36797360,9935626,4529,10.1038/s42003-023-04529-3,Article,2023-02-16,2022-05-12,2023-01-25,,"© The Author(s) 2023","Data integration;Cancer genomics;Cancer models",https://github.com/idc9/py_jive;https://github.com/NKI-CCB/TRANSACT;https://github.com/baprice/AJIVE-jDR-Integration
65,5,"Lack of evidence for increased transcriptional noise in aged tissues",36576247,9934862,80380,10.7554/eLife.80380,"Research Article",2022-12-28,2022-05-18,2022-12-23,,"© 2022, Ibañez-Solé, Ascensión et al","aging;transcription;variability;single-cell RNA sequencing;lung;cell identity;Human;Mouse",https://github.com/theislab/scanpy
66,56,"An automated pipeline for supervised classification of petal color from citizen science photographs",36818779,9934523,APS311505,10.1002/aps3.11505,"Application Article",2023-01-16,2022-06-16,2022-10-18,,"© 2023 The Authors. ","citizen science;flower color;
          ;image segmentation;
          ;supervised learning",https://github.com/atudell/Color-Cluster-Kit
67,52,"Optimized workplace risk mitigation measures for SARS-CoV-2 in 2022",36797293,9933026,29087,10.1038/s41598-023-29087-w,Article,2023-02-16,2021-10-20,2023-01-30,,"© The Author(s) 2023","Computational models;Viral infection;Health policy;Disease prevention",""
68,43,"Endoplasmic reticulum protein BIK binds to and inhibits mitochondria-localized antiapoptotic proteins",36603764,9932132,102863,10.1016/j.jbc.2022.102863,"Research Article",2023-01-02,2022-06-24,"",,"© 2023 The Authors","BCL-2 family;apoptosis;BCL-2 interacting killer;BIK;subcellular localization fluorescence lifetime imaging microscopy;FLIM–FRET;BDEB, BIK–DAPk1–ERK1/2–BAK;BH, BCL-2 homology;BIK, BCL-2 interacting killer;BMK, baby mouse kidney;Cb5, cytochrome b5;ChPTDSS1, mCherry fused to full-length phosphatidylserine synthase-1;DAPk1, Death-Associated Protein kinase 1;DKO, double KO;DMEM, Dulbecco's modified Eagle's medium;ER, endoplasmic reticulum;ERK1/2, extracellular-regulated signal kinase 1 and 2;FHS, FLIM–hyperspectral;FLIM, fluorescence lifetime imaging microscopy;HEK293T, human embryonic kidney 293T cell line;IRES, internal ribosome entry site;MAM, mitochondria-associated ER membrane;MBR, membrane-binding region;MEM, minimum essential medium;MitoGreen, MitoTracker Green;MitoRed, MitoTrackerRed;MOM, mitochondrial outer membrane;MOMP, mitochondrial outer membrane permeabilization;qF3, quantitative Fast FLIM–FRET;ROI, region of interest;TCSPC, time-correlated single-photon counting;TMRE, tetramethylrhodamine ethyl ester",https://github.com/DWALab/Osterlund_et_al_2021_BIK_Localization
69,12,"Deep learning based atomic defect detection framework for two-dimensional materials",36788235,9929095,2004,10.1038/s41597-023-02004-6,"Data Descriptor",2023-02-14,2022-10-12,2023-02-06,,"© The Author(s) 2023","Electronic devices;Electrical and electronic engineering",https://github.com/MeatYuan/MOS2;https://github.com/MeatYuan/MOS2.We
70,57,"Mechanistic model of ",36700386,9912026,MSB202210988,10.15252/msb.202210988,Article,2023-01-26,2022-02-17,2022-12-15,,"© 2023 The Authors. Published under the terms of the CC BY 4.0 license.","allosteric interactions;drug resistance;kinetic modeling;MAPK pathway;rewiring;Cancer;Computational Biology;Signal Transduction","https://github.com/ICB-DCM/pyPESTO;https://github.com/labsyspharm/marm2‐supplement"
71,33,"Evolutionary selection of proteins with two folds",36789442,9928049,,10.1101/2023.01.18.524637,Article,2023-01-20,"","",,,"Protein Fold Switching;Coevolutionary Analysis;Protein Evolution;Protein Structure Prediction;Protein Folding;Conformational Diversity",""
72,33,"ElasticBLAST: Accelerating Sequence Search via Cloud Computing",36789435,9928022,,10.1101/2023.01.04.522777,Article,2023-01-04,"","",,,"BLAST;Cloud Computing;Alignment;Kubernetes;AWS Batch",""
73,58,"Scripting Analyses of Genomes in Ensembl Plants",35037199,7614177,,10.1007/978-1-0716-2067-0_2,Article,2022-01-01,"","",,,"Database;Genomics;Comparative genomics;Genetic variation;Crops;Model plants;Polyploids;Scripting;API",https://github.com/Ensembl/plant-scripts;https://github.com/Ensembl/treebest;https://github.com/Ensembl/ensembl-vep;https://github.com/Ensembl/ensembl-metadata;https://github.com/Ensembl/plant_tools
74,59,"Snekmer: a scalable pipeline for protein sequence fingerprinting based on amino acid recoding",36789294,9913046,vbad005,10.1093/bioadv/vbad005,"Original Article","",2022-03-14,2023-02-01,,"© The Author(s) 2023. Published by Oxford University Press.","",https://github.com/PNNL-CompBio/Snekmer
75,18,"Direct generation of protein conformational ensembles via machine learning",36774359,9922302,36443,10.1038/s41467-023-36443-x,Article,2023-02-11,2022-06-18,2023-02-01,,"© The Author(s) 2023","Machine learning;Computational biophysics;Software;Molecular modelling",https://github.com/feiglab/idpgan
76,32,"MDSuite: comprehensive post-processing tool for particle simulations",36774469,9921696,687,10.1186/s13321-023-00687-y,Software,2023-02-11,2022-03-10,2023-01-22,,"© The Author(s) 2023","Molecular dynamics;Computational physics;Material properties;High performance computing;TensorFlow;FAIR data",https://github.com/zincware/MDSuite
77,60,"Biofuels and Nanocatalysts: Python Boosting Visualization of Similarities",36770184,9921263,materials-16-01175,10.3390/ma16031175,Article,2023-01-30,2022-12-07,2023-01-19,,"© 2023 by the authors.","nanocatalyst;biodiesel;oil;production;reaction;data mining;visualization of similarities method;python;pandas",https://github.com/ftir-mc/Biofuel-nanocatalyst
