id,article_id,domain,repository,hash_dir1,hash_dir2,commit,notebooks_count,setups_count,requirements_count,notebooks,setups,requirements,processed,pipfiles_count,pipfile_locks_count,pipfiles,pipfile_locks
16,11,github.com,ziatdinovmax/gpax,e6,bfb981c40cd7e2858ab20fc9a80a899545daa5,09f5bb70b78ba9a1147e67c178d7e4a97f6020d6,6,1,1,examples/gpax_GPBO.ipynb;examples/hypoAL.ipynb;examples/GP_sGP.ipynb;examples/gpax_viDKL_plasmons.ipynb;examples/gpax_hypo.ipynb;examples/simpleGP.ipynb,setup.py,requirements.txt,8329,0,0,"",""
17,12,github.com,ai4up/eubucco,00,77501f693ac7ae86a706977d1d2fa058cccb47,cc8948c297b14c584b515e37a795fcc78b80fff0,12,0,0,tutorials/getting-started.ipynb;tutorials/downloading-openstreetmap.ipynb;tutorials/downloading-spain-cadaster.ipynb;tutorials/downloading-parsing-osm.ipynb;tutorials/website/getting-started-website.ipynb;database/preprocessing/0-downloading/downloading-poland.ipynb;database/preprocessing/0-downloading/downloading-wsf.ipynb;database/preprocessing/1-parsing/duplicate-removal/remove_duplicates_abruzzo.ipynb;database/preprocessing/1-parsing/duplicate-removal/remove_duplicates_piemonte.ipynb;database/preprocessing/4-attrib-cleaning/type-mapping/type-germany.ipynb;database/preprocessing/4-attrib-cleaning/type-mapping/type-osm.ipynb;database/preprocessing/4-attrib-cleaning/type-mapping/type-country.ipynb,"","",8321,0,0,"",""
18,12,github.com,microsoft/GlobalMLBuildingFootprints,85,4c2927d3fa49bd1d31e955494f9d1a98e79f2d,310a7a5268165a7128ea5bbcd9eec3a9aba8347a,0,0,0,"","","",8329,0,0,"",""
19,13,github.com,racdale/triadic-bodily-synchrony,06,44597b2a44e8a6936b7086d90aa93b9a8269b6,ba0781a24a57fb9149913883bf99370ea21c626e,0,0,0,"","","",8329,0,0,"",""
20,13,github.com,cslab-hub/multiSyncPy,db,d5cc5be94ed1fee9f5d7c5c156a0e1dcc598f7,dd36a900389213ca99e02dc412789edf184ea022,3,1,0,"Examples/Workflow B example.ipynb;Examples/Envision multiSyncPy demo updated data.ipynb;Examples/Basic usage examples.ipynb",setup.py,"",8321,0,0,"",""
21,13,github.com,CMU-Perceptual-Computing-Lab/openpose,77,c8a48842fb9faade84379684b461dcfa6f5637,2034f9c07526b885c16ba94eec4a4bd6cc8787c3,0,0,0,"","","",8329,0,0,"",""
22,14,github.com,IGGoncalves/PhysiCOOL,13,a83ad0c1159d2e8650dbcd57ea091cfc033997,1799ee7cff854e1b32ff6a239604c1b3cfb68dfe,7,0,1,examples/output-viz.ipynb;examples/interactive-toy-model.ipynb;examples/growth/PhysiCOOL_growth_example.ipynb;examples/third_party/third_party.ipynb;examples/motility/sweeper.ipynb;examples/motility/black_box.ipynb;docs/xml_update.ipynb,"",docs/requirements.txt,8321,0,0,"",""
23,14,github.com,samuelcolvin/pydantic,b9,570c41cd86f8a146e52a1c934838ce298a4216,6f6872e95c433026e6d375888a8375f082ce6fcb,0,0,0,"","","",8329,0,0,"",""
24,16,github.com,combio-dku/HiCAT,f0,19a8cb4a3a3c6abb6a36d6836a6de1e298342d,b7082e3f3a56d4b09a44460ccbf331456eb292c2,1,0,0,HiCAT_example_py_v03.ipynb,"","",8321,0,0,"",""
25,16,github.com,combio-dku/RCTIcollection,a8,65392577c29785193d4532dce351e7fe009592,da8dbb12268a65aac8d9ac67bfe9b7a0869e4a33,1,0,0,RCTIcollection_example.ipynb,"","",8329,0,0,"",""
26,18,github.com,jwrth/xDBiT_toolbox,75,a7afde5d39b169b0653530340da11c0ebf65d2,cecf03435ae8bb182e268da666ccf7d19b508624,20,0,0,"CountsToAnndata/old_code/alignment_script.ipynb;CountsToAnndata/old_code/37_38_01b_generate_dataset_with_confocal_images.ipynb;ReadsToCounts/archive/notebooks/create_barcode_legend.ipynb;publication/notebooks/SpatialMouse_01_clean_dataset.ipynb;publication/notebooks/SpatialMouse_13_register_HE_IF.ipynb;publication/notebooks/SpatialMouse_02_QC_Comparison experiments.ipynb;publication/notebooks/SpatialMouse_14_saturation_plot.ipynb;publication/notebooks/SpatialMouse_10_channel_flow.ipynb;publication/notebooks/SpatialMouse_06_Mefisto.ipynb;publication/notebooks/SpatialMouse_00_QC_Registration+Transcriptome+RNAMetrics.ipynb;publication/notebooks/SpatialMouse_07_deconvolution_cell2location_Kidney.ipynb;publication/notebooks/SpatialMouse_09_gex_celltypes_vessel_kidney.ipynb;publication/notebooks/SpatialMouse_00_costs_xdbit.ipynb;publication/notebooks/SpatialMouse_05_DEG_leiden.ipynb;publication/notebooks/SpatialMouse_11_spillover_analysis.ipynb;publication/notebooks/SpatialMouse_12_stripe_effects.ipynb;publication/notebooks/SpatialMouse_08_cell2location_downstream.ipynb;publication/notebooks/SpatialMouse_07_deconvolution_cell2location_Kidney_2sections.ipynb;publication/notebooks/SpatialMouse_04_PublicDataset_Comparison_Bulk.ipynb;publication/notebooks/SpatialMouse_03_preprocessing.ipynb","","",8329,0,0,"",""
27,18,github.com,bioFAM/mofax,7a,18b801b7d96570b0371ba8d87b41bf4579e3ee,13a38f48c739eeb182773560f37b340fd86f7e71,2,1,0,notebooks/training_pbmc10k.ipynb;notebooks/getting_started_pbmc10k.ipynb,setup.py,"",8321,0,0,"",""
28,18,github.com,broadinstitute/Drop-seq,e4,005a3270644db5fc74032453eb1790c82630f8,e21ba24e98aec70ad153d5b351586f253b02becf,0,0,0,"","","",8329,0,0,"",""
29,18,github.com,RebekkaWegmann/splitseq_toolbox,87,f40c37e35163f22dcddb219b7025f6c29d5b03,228950ffd7e14de07522ed5e9b16994795444a48,0,0,0,"","","",8329,0,0,"",""
30,19,github.com,ieee8023/covid-chestxray-dataset,93,c6fa16cf599324984be6e0113cd440b86c05b5,78543292f8b01d5e0ed1d0e15dce71949f0657bb,3,0,2,scripts/verify_and_modify_dataset.ipynb;scripts/radiopedia.ipynb;scripts/metadata_visualization.ipynb,"",requirements.txt;scripts/requirements.txt,8321,0,0,"",""
31,19,github.com,mahsan2/Monkeypox-dataset-2022,b7,8354ec40bc60aaf06aa116269ab63ac9e2a2bd,fe614e42a1a4a42b8f9d7325e9dba526748057b9,1,0,0,Monkeypox_08_15_22.ipynb,"","",8329,0,0,"",""
32,19,github.com,carlosvega/DebunkMonkeypoxML,c8,639feff3aad85bbf2e4898fd3c42dd11e221fa,ba0f366cb76e881b561a69f150a319a519ef84bc,2,0,0,monkeypox-study-one.ipynb;monkeypox-study-two.ipynb,"","",8321,0,0,"",""
33,22,github.com,Bristol-UNCOVER/Saliva_data_ML_analysis,c0,3391d3f16397834735bb172e91ee8fc8eeb543,ec2e1a4362940b7ebb4da14ae431d168e0ee175e,1,0,0,Saliva_dataset_analysis.ipynb,"","",8321,0,0,"",""
34,23,github.com,miykael/fmriflows,45,a206f94d4d76b42e6962d26afc463963d0013d,5402f0243ccdcee71ecca0b682ee35c1b0903cf7,7,0,0,paper/02_validation/plot_estimaed_fwhm.ipynb;notebooks/06_analysis_multivariate.ipynb;notebooks/02_preproc_anat.ipynb;notebooks/03_preproc_func.ipynb;notebooks/01_spec_preparation.ipynb;notebooks/05_analysis_2nd-level.ipynb;notebooks/04_analysis_1st-level.ipynb,"","",8321,0,0,"",""
35,23,github.com,poldracklab/fitlins,68,17e9b828a6543959f1507fc6d262a48fc6e718,ec655c7ec71d92cc81141467bdb44e2bcc253425,1,1,1,examples/notebooks/ds003_sample_analysis.ipynb,setup.py,requirements.txt,8321,0,0,"",""
36,24,github.com,imaginationdykim/2022.CC,2d,9251f12762c435969b89a6af899d4204074c34,9f9def67f6ce522bee1f3b0864bd7111214df18a,1,0,0,Channel_Capacity.ipynb,"","",8321,0,0,"",""
37,25,github.com,csabaiBio/RBD-AlphaFold2-structures-and-phenotypic-information,54,b9ce3c05184ed7c70d892e6f774fd2bb260975,ebb076395bc533b09496ae80cfe0b5579b7c6d1d,25,0,0,rotation_analysis/MSE_vs_adjacency_dist.ipynb;wuhan_generalization_experiments/RF_generalization_plot.ipynb;wuhan_generalization_experiments/test_embeddings.ipynb;APBS_and_PQR/PQR-APBS.ipynb;interface_exploration/interface_importance.ipynb;SARS-CoV-2-RBD_DMS_Omicron/count_variants.ipynb;SARS-CoV-2-RBD_DMS_Omicron/Epistatic-Shifts-Interactive-Visualization.ipynb;SARS-CoV-2-RBD_DMS_Omicron/process_ccs_Wuhan_Hu_1.ipynb;SARS-CoV-2-RBD_DMS_Omicron/RBD-Heatmaps-Interactive-Visualization.ipynb;SARS-CoV-2-RBD_DMS_Omicron/process_ccs_BA1.ipynb;SARS-CoV-2-RBD_DMS_Omicron/process_ccs_BA2.ipynb;SARS-CoV-2-RBD_DMS_Omicron/SRA_upload_PacBio/upload_to_SRA_BA2.ipynb;SARS-CoV-2-RBD_DMS_Omicron/SRA_upload_PacBio/upload_to_SRA_BA1.ipynb;SARS-CoV-2-RBD_DMS_Omicron/SRA_upload_Illumina/make_and_upload_tar.ipynb;SARS-CoV-2-RBD_DMS_Omicron/SRA_upload_Illumina/create_submission_sheet.ipynb;projections/TSNE_all_vars_structs.ipynb;projections/UMAP_all_vars_structs.ipynb;disorder_analysis/iupred_notebook-Analyses_mod.ipynb;foldX_stability/expression_foldx_analysis.ipynb;CNN_training/generate_adj_files.ipynb;CNN_training/5_fold_split.ipynb;antibody_escape/antibody_escape_vs_structuraldistortion.ipynb;data_usage_scripts/all_mut_dist_maps.ipynb;data_usage_scripts/aa_changes_vs_RMSD.ipynb;data_usage_scripts/mutation_distortion_maps.ipynb,"","",8321,0,0,"",""
38,26,github.com,dchary/ucdeconvolve_paper,fe,6197b443f5a2bfdef8e47b38956c3ef0f6f1a3,118d3a9c35779ed577293bcfc01ee931df1073d6,12,0,0,figure3/figure3_primary.ipynb;figure2/figure2_benchmarking_comparators.ipynb;figure2/figure2_primary_lung.ipynb;figure2/figure2_supplementary.ipynb;figure2/figure2_primary_retina.ipynb;figure2/figure2_primary_hippocampus.ipynb;figure2/figure2_primary_pbmc.ipynb;figure5/figure5_primary.ipynb;figure1/figure1_primary.ipynb;figure4/figure4_supplement.ipynb;figure4/figure4_primary.ipynb;figure6/figure6_primary.ipynb,"","",8321,0,0,"",""
39,26,github.com,dchary/ucdeconvolve,8a,f229b0759dfed4c156cc745bb62c6e2839ca89,e560f11fe4078360f1b4692047d1fa4893cb18e9,1,1,2,docs/notebooks/spatial_example.ipynb,setup.py,requirements.txt;docs/requirements.txt,8321,0,0,"",""
40,27,github.com,heprom/pymicro,5d,1f31b5968ff4d0b9660c9441cca78d1ba1f539,5140b4abc1b10b52013b3f5b9683172e8ee3d6c8,9,1,1,examples/SampleDataUserGuide/3_SampleData_Image_groups.ipynb;examples/SampleDataUserGuide/2_SampleData_basic_data_items.ipynb;examples/SampleDataUserGuide/5_SampleData_data_compression.ipynb;examples/SampleDataUserGuide/SampleData_Quick_Reference_Sheet.ipynb;examples/SampleDataUserGuide/SampleData_Introduction.ipynb;examples/SampleDataUserGuide/6_SampleData_inheritance_and_Microstructure_class.ipynb;examples/SampleDataUserGuide/4_SampleData_Mesh_groups.ipynb;examples/SampleDataUserGuide/1_Getting_Information_from_SampleData_datasets.ipynb;examples/pack_volumes/pack_volumes.ipynb,setup.py,requirements.txt,8321,0,0,"",""
41,27,github.com,FABLE-3DXRD/ImageD11,d0,e68904b8575cc1f1a28055e4d89e7d3d062bd1,f14eb01cf8db18a45958ff7395e9a0f5d0894a2f,11,2,0,"sandbox/pixelmapper.ipynb;sandbox/weighted_kde/3DXRD diffractogram from filtered peaks.ipynb;ImageD11/nbGui/test_gui_fit.ipynb;ImageD11/nbGui/fit_cen_trans.ipynb;ImageD11/nbGui/plot3d.ipynb;docs/NotesOnNewDeformationGradientTensor.ipynb;docs/sintheta_squared_geometry.ipynb;docs/weight_gv_refine.ipynb;docs/DeformationGradientTensor.ipynb;test/test_rsv/plot_Fe3O4.ipynb;test/test_index_unknown/lattice_trans.ipynb",setup.py;ImageD11/depreciated/fsrc/setup.py,"",8321,0,0,"",""
42,28,github.com,hechaohong/nucleu_areas,be,67cd60ced98d802af9adddad8e996317988ac1,21883bdd83b016c01c107d8731a162bbb91da68a,1,0,0,main.ipynb,"","",8321,0,0,"",""
43,29,github.com,netZoo/netZooR,79,abe5104e73d0eb480aa93c3032b0845558ef6a,e939677fbc0aea5ddf5c0122c62a33354828621b,0,0,0,"","","",8329,0,0,"",""
44,31,github.com,broadinstitute/ABC-Enhancer-Gene-Prediction,1f,150431b46cfd5e4e2acd7fcce080037be29852,95bde8fff18979e69f7477b2fe240cc4567ff36f,0,0,0,"","","",8329,0,0,"",""
45,31,github.com,shwhalen/targetfinder,e9,3a9abe8bb8609ba084448d63c877d77e7f0d31,114e927a511f8396ca17292597d107494818e40f,0,0,0,"","","",8329,0,0,"",""
46,31,github.com,weng-lab/BENGI,fe,faffd0ac49406c15bfea281ef81e929d1bc07c,d097e1982c2203ac249c82db446cb170dc1c03c7,0,0,0,"","","",8329,0,0,"",""
47,31,github.com,sdjebali/EnhancerGene,c1,888c2116939254b523898309e56ab9e601ec36,47f7327050f3d87462902bcbd6477e33f3c9ed90,0,0,0,"","","",8329,0,0,"",""
48,32,github.com,Draviam-lab/spinx_local,26,f512a87daa30a42813a656a96c04bc8572361f,688ae0da643d1d70c30f3041c75f17fcbd3cfc06,3,2,3,spinx_3d_modelling_module/spinx_3d_modelling.ipynb;spinx_ai_module_pred_cell_cortex/spinx_ai_pred_cell.ipynb;spinx_ai_module_pred_spindle/spinx_ai_pred_spindle.ipynb,spinx_ai_module_pred_cell_cortex/setup.py;spinx_ai_module_pred_spindle/setup.py,spinx_3d_modelling_module/requirements.txt;spinx_ai_module_pred_cell_cortex/requirements.txt;spinx_ai_module_pred_spindle/requirements.txt,8321,0,0,"",""
49,32,github.com,matterport/Mask_RCNN,29,139bc9e8d7bc16f5cec051cfb00e56fd7f3b29,3deaec5d902d16e1daf56b62d5971d428dc920bc,9,1,1,samples/demo.ipynb;samples/shapes/train_shapes.ipynb;samples/balloon/inspect_balloon_model.ipynb;samples/balloon/inspect_balloon_data.ipynb;samples/nucleus/inspect_nucleus_data.ipynb;samples/nucleus/inspect_nucleus_model.ipynb;samples/coco/inspect_model.ipynb;samples/coco/inspect_weights.ipynb;samples/coco/inspect_data.ipynb,setup.py,requirements.txt,8321,0,0,"",""
50,33,github.com,singmann/afex,40,1b498f01182faca54c99579ece540e6daa015c,3b91b8e73862a70c130c0a299618451c23684f0c,0,0,0,"","","",8329,0,0,"",""
51,33,github.com,aidelarazan/curbage_recognition,84,1dff0f028ba319525ec68973d115d736b4083e,156de56950598f0e62765e79ae8db5472adaff6e,2,0,0,scripts/analyses/01_curbage_recognition_data_cleaning_edited.ipynb;scripts/analyses/01_curbage_recognition_analysis.ipynb,"","",8321,0,0,"",""
52,34,github.com,ipdgc/GP2-post-GWAS-analysis,f9,b385673f897a7cf41bd5c80b6f1bce56b1a9ef,953796b13d02dd1e8ef6ad0c4f8e8a6ed9081774,2,0,0,runs_of_homozygosity.ipynb;PD_LRRK2_hackathon.ipynb,"","",8321,0,0,"",""
53,34,github.com,ipdgc/GP2-pathway-enrichment-pipeline,a4,acffb16b38751c4d76ba8063ca861b280146de,51f86de7d3cc5634366a36264e8bd3eb1fcc1a76,3,0,0,run_WebGestaltR_Manuela.ipynb;import_GWAS_sumstats_Manuela.ipynb;format_for_FUMA_Manuela.ipynb,"","",8321,0,0,"",""
54,34,github.com,ipdgc/Colocalization-Pipeline,54,e056d21c7aa1eeefa253753cd8926e7f65a763,cd5bbe79027304ee17fbf13c992240575e241118,0,0,0,"","","",8329,0,0,"",""
55,34,github.com,ipdgc/GP2-network-generation,e8,69f3b124f8ac92ad5df8bdb9ef1403adb85887,0ec41872c4a3a9967603fc3f4a6cb5bdf2995b8a,1,0,0,hackathon_networks.ipynb,"","",8329,0,0,"",""
56,34,github.com,ipdgc/GP2-Variant-Interaction-Pipeline,65,e8a9b1533c0eca0c61673e2d587188aeab07ac,dff988c6026caed3fab383c2892f4caa096cb7b0,0,0,0,"","","",8329,0,0,"",""
57,35,github.com,zmahnoor14/MAW,7e,1d8f994e87cefb5164820fa23437ba3861c5b8,793c4450b04aef4cdb0ea16065e7404e38cf2f1e,7,0,1,Notebooks/Python_notebook/Workflow_Python_Script.ipynb;Notebooks/Python_notebook/Workflow_Python_Functions.ipynb;Notebooks/R_notebook/Workflow_R_Functions.ipynb;Notebooks/R_notebook/Workflow_R_Script.ipynb;R/Modules_R/exampleCWL.ipynb;R/Modules_R/spec_Processing.ipynb;R/Modules_R/ms2_rfilename.ipynb,"",Python/requirements.txt,8321,0,0,"",""
58,35,github.com,zmahnoor14/MAW-Benchmark,3e,c3be671ce2ef1fd066384c434b97ca63477a3d,cc5445e9a117901c9270fe3c9c0a8bee3a24f15c,29,0,0,"DownloadHMDB.ipynb;Visualization in R.ipynb;Ponder-Standards-R-SIRIUS.ipynb;Ponder-Bryo-R-SIRIUS.ipynb;Visualization-Statistics.ipynb;BryoMGFtomzML.ipynb;Ponder-Standards-R-Spectra.ipynb;CHEMONT-R.ipynb;MAC-Bryo-MAWPy-bio.ipynb;Visualization_in_R.ipynb;MAW-Python_file_6M285R540ID286.ipynb;suspectlist_sirius.ipynb;Bryophytes.ipynb;Bryo-SIRIUS-bio.ipynb;Ponder-Bryo-R-Spectra.ipynb;copy-of-MAC-Bryo-MAWPy-bio.ipynb;MAW-Py_MetFrag.ipynb;DownloadMassBank.ipynb;Ponder-Diatom-R-SIRIUS.ipynb;Bryophytes-statistcs2.ipynb;DownloadGNPS.ipynb;Dereplication-newDBs.ipynb;Ponder-Standards-MetFragPubChem.ipynb;Ponder-BryoMGFtomzML.ipynb;Functions_not_used_python.ipynb;Benchmark.ipynb;Bryophytes-statistics.ipynb;MAW-R_file_6M285R540ID286.ipynb;ButanoylCranitine_ScoringMassBank.ipynb","","",8321,0,0,"",""
59,36,github.com,sokrypton/ColabDesign,5c,0c44e50cfebc76a9bcdfa4b43fcd0760f0b132,961c7afda81a2bc8d8990d539cce25dc5a15dd1f,18,1,0,af_design_tutorial.ipynb;mpnn/examples/proteinmpnn_in_jax.ipynb;mpnn/examples/afdesign_and_proteinmpnn_bias.ipynb;af/design.ipynb;af/examples/binder_hallucination.ipynb;af/examples/afdesign_hotspot_test.ipynb;af/examples/peptide_binder_design.ipynb;af/examples/AF2Rank.ipynb;af/examples/af_relax_design.ipynb;af/examples/hallucination_custom_loss.ipynb;af/examples/af_cyc_design.ipynb;af/examples/partial_hallucination_rewire.ipynb;af/examples/disulfide_design.ipynb;af/examples/use_esm_1b_bias.ipynb;af/examples/hallucination.ipynb;colabdesign/mpnn/legacy/example.ipynb;esm_msa/example.ipynb;tr/design.ipynb,setup.py,"",8321,0,0,"",""
60,37,github.com,maayanlab/prismexp,a7,ea6b7f05ea1bf97054c1cda3261f945b2f191a,b18f8840479ba33d690c4f42c0fce19388177d2f,2,1,1,testcode/bridgegsea.ipynb;testcode/example.ipynb,setup.py,requirements.txt,8321,0,0,"",""
61,41,github.com,aldertzomer/FastDeMe,fa,37bf2e3aa13a7a5663f1fc8d9a4ecb92cf6cd8,78cd525fda75fa9bb4133cd84ecb461d893951ef,0,0,0,"","","",8329,0,0,"",""
62,42,github.com,rinikerlab/decapeptides-membrane,90,188eee42de435c09bbb6f47e4b1d122f5deaed,514abb34019907af49c0b96d36968de5bec425ce,1,0,0,Manuscript_Figures.ipynb,"","",8321,0,0,"",""
63,42,github.com,schrodinger/pymol-open-source,bb,93ec4ed86c98485bb16b166fb09efbfa0ad876,d0a3380636e3d4079a0320b372a330dcf797d660,0,1,0,"",setup.py,"",8329,0,0,"",""
64,45,github.com,forlilab/Meeko,10,6c098a3829b0239723423b27de8767ef05bba8,439ebee51c83cb58595fcbf8fb8bfc5c83b98eb3,0,1,0,"",setup.py,"",8329,0,0,"",""
65,46,github.com,VladislavNexby/ML,53,b6c37b207cb14639e8ebdafb264055f3ee4f52,495d53676f45c758634b97523cc6273c8683c456,1,0,0,QY_PRED.ipynb,"","",8329,0,0,"",""
66,47,github.com,biorack/omaat,9e,9e71bf232ab0dc301f91ec014da57de675890f,e6fe8a71c46d42efeb3e99595c6bde4bae04796f,4,1,0,omaat_openmsi_store_demo.ipynb;AnalChem_2017_DeRaad.ipynb;omaat_notebook.ipynb;omaat_advanced.ipynb,setup.py,"",8321,0,0,"",""
67,48,github.com,sophiagosselin/Methylase_Insertions,c7,4aa4b9f97cadf8b448e4a31352eb0f8b623d09,4e9fe36a57a952ef33659fcee95176b78f87bffe,0,0,0,"","","",8329,0,0,"",""
68,49,github.com,fvbj/genomeVis,0a,7ea5698e03b8a029987bee2cf9f42ceb5b1dd7,cb81a350f2531e494ae70ac4de45bfc36817f76e,0,0,0,"","","",8329,0,0,"",""
69,50,github.com,fcphysics/CriticalityHeteroBNets,6b,a376e2889175259604c7760c595e33635a7c13,27278e8f4cc63b91d07604123a487a9398e2b099,1,0,0,results_for_manuscript.ipynb,"","",8321,0,0,"",""
70,50,github.com,rionbr/CANA,21,76c5e33b56313b3580258224d973e1405885c3,863565440cbbe90b4e0e355f02285b21fda32df4,12,1,0,"tutorials/Control - Thaliana.ipynb;tutorials/Control - State Transition Graph.ipynb;tutorials/Dynamics Canalization Map - Breast Cancer.ipynb;tutorials/Canalization - BioModels - Look Up Table.ipynb;tutorials/Canalization - Marques-Pita.ipynb;tutorials/Control - BioModels - Driver Variables.ipynb;tutorials/Canalization - BioModels.ipynb;tutorials/PNAS 2021 - Arabidopsis thaliana.ipynb;tutorials/PNAS 2021 - ER+ Breast Cancer.ipynb;tutorials/Dynamics Canalization Map.ipynb;tutorials/Canalization - Node Schematas.ipynb;tutorials/Canalization - BioModels - Schematas.ipynb",setup.py,"",8321,0,0,"",""
71,53,github.com,Karaniare/Optimized_GATK4_pipeline,2e,b5b2164046477ccdaf8145cd16f3dea0fad304,9b0e66b46a01dd9486c237f92828ba6b4cf7539c,0,0,0,"","","",8329,0,0,"",""
