id,article_id,pmid,meshid,mesh_label,toplevelmeshid,toplevelmeshlabel
84,19,36933065,D045908,Monkeypox,C22,"Animal Diseases"
85,19,36933065,D012867,Skin,A17,"Integumentary System"
86,19,36933065,D012871,"Skin Diseases",C17,"Skin and Connective Tissue Diseases"
87,19,36933065,D000069550,"Machine Learning",G17,"Mathematical Concepts"
88,19,36933065,D000069550,"Machine Learning",L01,"Information Science"
89,19,36933065,D003936,"Diagnosis, Computer-Assisted",E01,Diagnosis
90,19,36933065,D003936,"Diagnosis, Computer-Assisted",L01,"Information Science"
91,23,36575327,D006801,Humans,B01,Eukaryota
92,23,36575327,D008279,"Magnetic Resonance Imaging",E01,Diagnosis
93,23,36575327,D012984,Software,L01,"Information Science"
94,23,36575327,D015203,"Reproducibility of Results",E05,"Investigative Techniques"
95,23,36575327,D015203,"Reproducibility of Results",N05,"Health Care Quality, Access, and Evaluation"
96,23,36575327,D015203,"Reproducibility of Results",N06,"Environment and Public Health"
97,23,36575327,D007091,"Image Processing, Computer-Assisted",L01,"Information Science"
98,23,36575327,D059906,Neuroimaging,E01,Diagnosis
99,23,36575327,D059906,Neuroimaging,E05,"Investigative Techniques"
100,23,36575327,D001921,Brain,A08,"Nervous System"
101,24,36803584,D000818,Animals,B01,Eukaryota
102,24,36803584,D037181,"Lectins, C-Type",D12,"Amino Acids, Peptides, and Proteins"
103,24,36803584,D015398,"Signal Transduction",G02,"Chemical Phenomena"
104,24,36803584,D015398,"Signal Transduction",G04,"Cell Physiological Phenomena"
105,24,36803584,D016328,"NF-kappa B",D05,"Macromolecular Substances"
106,24,36803584,D016328,"NF-kappa B",D12,"Amino Acids, Peptides, and Proteins"
107,24,36803584,D009000,Monocytes,A11,Cells
108,24,36803584,D009000,Monocytes,A15,"Hemic and Immune Systems"
109,24,36803584,D011134,Polysaccharides,D09,Carbohydrates
110,24,36803584,D008322,Mammals,B01,Eukaryota
111,25,36918581,D006801,Humans,B01,Eukaryota
112,25,36918581,D003198,"Computer Simulation",L01,"Information Science"
113,25,36918581,D000086382,COVID-19,C01,Infections
114,25,36918581,D000086382,COVID-19,C08,"Respiratory Tract Diseases"
115,25,36918581,D005668,Furylfuramide,D02,"Organic Chemicals"
116,25,36918581,D005668,Furylfuramide,D03,"Heterocyclic Compounds"
117,25,36918581,D009154,Mutation,G05,"Genetic Phenomena"
118,25,36918581,D000086402,SARS-CoV-2,B04,Viruses
119,26,36906603,D059467,Transcriptome,G02,"Chemical Phenomena"
120,26,36906603,D059467,Transcriptome,G05,"Genetic Phenomena"
121,26,36906603,D017423,"Sequence Analysis, RNA",E05,"Investigative Techniques"
122,26,36906603,D059010,"Single-Cell Analysis",E05,"Investigative Techniques"
123,26,36906603,D020869,"Gene Expression Profiling",E05,"Investigative Techniques"
124,26,36906603,D000081246,RNA-Seq,E05,"Investigative Techniques"
125,29,36894939,D006801,Humans,B01,Eukaryota
126,29,36894939,D053263,"Gene Regulatory Networks",G05,"Genetic Phenomena"
127,29,36894939,D000465,Algorithms,G17,"Mathematical Concepts"
128,29,36894939,D000465,Algorithms,L01,"Information Science"
129,29,36894939,D012984,Software,L01,"Information Science"
130,29,36894939,D000095028,Multiomics,H01,"Natural Science Disciplines"
131,29,36894939,D000095028,Multiomics,L01,"Information Science"
132,29,36894939,D019295,"Computational Biology",H01,"Natural Science Disciplines"
133,29,36894939,D019295,"Computational Biology",L01,"Information Science"
134,30,36848241,D000818,Animals,B01,Eukaryota
135,30,36848241,D000205,Actomyosin,D12,"Amino Acids, Peptides, and Proteins"
136,30,36848241,D000199,Actins,D05,"Macromolecular Substances"
137,30,36848241,D000199,Actins,D12,"Amino Acids, Peptides, and Proteins"
138,30,36848241,D008051,"Lipid Bilayers",D10,Lipids
139,30,36848241,D008051,"Lipid Bilayers",J01,"Technology, Industry, and Agriculture"
140,30,36848241,D008841,"Actin Cytoskeleton",A11,Cells
141,30,36848241,D002462,"Cell Membrane",A11,Cells
142,30,36848241,D010716,Phosphatidylinositols,D10,Lipids
143,30,36848241,D008322,Mammals,B01,Eukaryota
144,32,36880744,D002460,"Cell Line",A11,Cells
145,32,36880744,D003593,Cytoplasm,A11,Cells
146,32,36880744,D000077321,"Deep Learning",G17,"Mathematical Concepts"
147,32,36880744,D000077321,"Deep Learning",L01,"Information Science"
148,32,36880744,D005456,"Fluorescent Dyes",D27,"Chemical Actions and Uses"
149,32,36880744,D008941,"Spindle Apparatus",A11,Cells
150,32,36880744,D008962,"Models, Theoretical",E05,"Investigative Techniques"
151,32,36880744,D021621,"Imaging, Three-Dimensional",E01,Diagnosis
152,32,36880744,D021621,"Imaging, Three-Dimensional",L01,"Information Science"
153,33,36863768,D006801,Humans,B01,Eukaryota
154,33,36863768,D000368,Aged,M01,Persons
155,33,36863768,D000375,Aging,G07,"Physiological Phenomena"
156,33,36863768,D060825,"Cognitive Dysfunction",F03,"Mental Disorders"
157,33,36863768,D000073656,"Healthy Aging",F01,"Behavior and Behavior Mechanisms"
158,33,36863768,D008568,Memory,F02,"Psychological Phenomena"
159,33,36863768,D011939,"Mental Recall",F02,"Psychological Phenomena"
160,37,36874981,D006801,Humans,B01,Eukaryota
161,37,36874981,D000818,Animals,B01,Eukaryota
162,37,36874981,D051379,Mice,B01,Eukaryota
163,37,36874981,D058977,"Molecular Sequence Annotation",E05,"Investigative Techniques"
164,37,36874981,D058977,"Molecular Sequence Annotation",L01,"Information Science"
165,37,36874981,D063990,"Gene Ontology",H01,"Natural Science Disciplines"
166,37,36874981,D063990,"Gene Ontology",L01,"Information Science"
167,37,36874981,D008322,Mammals,B01,Eukaryota
168,37,36874981,D010641,Phenotype,G05,"Genetic Phenomena"
169,37,36874981,D011340,"Problem Solving",F02,"Psychological Phenomena"
170,38,36855050,D000074582,"AAA Proteins",D08,"Enzymes and Coenzymes"
171,38,36855050,D000074582,"AAA Proteins",D12,"Amino Acids, Peptides, and Proteins"
172,38,36855050,D010231,"Paracoccus denitrificans",B03,Bacteria
173,38,36855050,D018832,"Molecular Chaperones",D12,"Amino Acids, Peptides, and Proteins"
174,38,36855050,D009640,Norethindrone,D04,"Polycyclic Compounds"
175,38,36855050,D013329,"Structure-Activity Relationship",G02,"Chemical Phenomena"
176,38,36855050,D013329,"Structure-Activity Relationship",G07,"Physiological Phenomena"
177,39,36762436,D000818,Animals,B01,Eukaryota
178,39,36762436,D006801,Humans,B01,Eukaryota
179,39,36762436,D051379,Mice,B01,Eukaryota
180,39,36762436,D051381,Rats,B01,Eukaryota
181,39,36762436,D020285,"Cryoelectron Microscopy",E01,Diagnosis
182,39,36762436,D020285,"Cryoelectron Microscopy",E05,"Investigative Techniques"
183,39,36762436,D003586,"Cytomegalovirus Infections",C01,Infections
184,39,36762436,D050834,"Interferon-Stimulated Gene Factor 3, gamma Subunit",D12,"Amino Acids, Peptides, and Proteins"
185,39,36762436,D007372,Interferons,D12,"Amino Acids, Peptides, and Proteins"
186,39,36762436,D007372,Interferons,D23,"Biological Factors"
187,39,36762436,D018146,Muromegalovirus,B04,Viruses
188,39,36762436,D050795,"STAT2 Transcription Factor",D12,"Amino Acids, Peptides, and Proteins"
189,39,36762436,D044767,"Ubiquitin-Protein Ligases",D08,"Enzymes and Coenzymes"
190,39,36762436,D053722,"Receptors, Interleukin-17",D12,"Amino Acids, Peptides, and Proteins"
191,41,36850017,D006801,Humans,B01,Eukaryota
192,41,36850017,D006736,Horses,B01,Eukaryota
193,41,36850017,D000818,Animals,B01,Eukaryota
194,41,36850017,D014295,Trimethoprim,D03,"Heterocyclic Compounds"
195,41,36850017,D008137,"Longitudinal Studies",E05,"Investigative Techniques"
196,41,36850017,D008137,"Longitudinal Studies",N05,"Health Care Quality, Access, and Evaluation"
197,41,36850017,D008137,"Longitudinal Studies",N06,"Environment and Public Health"
198,41,36850017,D012336,"RNA, Ribosomal, 16S",D13,"Nucleic Acids, Nucleotides, and Nucleosides"
199,41,36850017,D006760,Hospitalization,E02,Therapeutics
200,41,36850017,D006760,Hospitalization,N02,"Health Care Facilities, Manpower, and Services"
201,41,36850017,D005243,Feces,A12,"Fluids and Secretions"
202,41,36850017,D064307,Microbiota,G06,"Microbiological Phenomena"
203,41,36850017,D064307,Microbiota,G16,"Biological Phenomena"
204,41,36850017,D064307,Microbiota,N06,"Environment and Public Health"
205,42,36762908,D002463,"Cell Membrane Permeability",G03,Metabolism
206,42,36762908,D002463,"Cell Membrane Permeability",G03,"[OBSOLETE] Metabolic Phenomena"
207,42,36762908,D002463,"Cell Membrane Permeability",G04,"Cell Physiological Phenomena"
208,42,36762908,D008051,"Lipid Bilayers",D10,Lipids
209,42,36762908,D008051,"Lipid Bilayers",J01,"Technology, Industry, and Agriculture"
210,42,36762908,D010456,"Peptides, Cyclic",D04,"Polycyclic Compounds"
211,42,36762908,D010456,"Peptides, Cyclic",D12,"Amino Acids, Peptides, and Proteins"
212,42,36762908,D001682,"Biological Availability",G03,Metabolism
213,42,36762908,D001682,"Biological Availability",G03,"[OBSOLETE] Metabolic Phenomena"
214,42,36762908,D001682,"Biological Availability",G07,"Physiological Phenomena"
215,42,36762908,D011487,"Protein Conformation",G02,"Chemical Phenomena"
216,43,36834874,D000818,Animals,B01,Eukaryota
217,43,36834874,D060434,Herbivory,F01,"Behavior and Behavior Mechanisms"
218,43,36834874,D060434,Herbivory,G07,"Physiological Phenomena"
219,43,36834874,D017753,Ecosystem,G16,"Biological Phenomena"
220,43,36834874,D017753,Ecosystem,N06,"Environment and Public Health"
221,43,36834874,D062105,"Molecular Docking Simulation",E05,"Investigative Techniques"
222,43,36834874,D062105,"Molecular Docking Simulation",L01,"Information Science"
223,43,36834874,D001517,Coleoptera,B01,Eukaryota
224,43,36834874,D018035,"Receptors, Odorant",D12,"Amino Acids, Peptides, and Proteins"
225,43,36834874,D019476,"Insect Proteins",D12,"Amino Acids, Peptides, and Proteins"
226,43,36834874,D057506,"Arthropod Antennae",A13,"Animal Structures"
227,44,36851755,D000596,"Amino Acids",D12,"Amino Acids, Peptides, and Proteins"
228,44,36851755,D002213,Capsid,A21,"Viral Structures"
229,44,36851755,D036022,"Capsid Proteins",D12,"Amino Acids, Peptides, and Proteins"
230,44,36851755,D029441,Carica,B01,Eukaryota
231,44,36851755,D002853,"Chromatography, Liquid",E05,"Investigative Techniques"
232,44,36851755,D007840,Latex,D05,"Macromolecular Substances"
233,44,36851755,D007840,Latex,D20,"Complex Mixtures"
234,44,36851755,D007840,Latex,D25,"Biomedical and Dental Materials"
235,44,36851755,D007840,Latex,J01,"Technology, Industry, and Agriculture"
236,44,36851755,D053719,"Tandem Mass Spectrometry",E05,"Investigative Techniques"
237,44,36851755,D012328,"RNA Viruses",B04,Viruses
238,45,36835358,D006801,Humans,B01,Eukaryota
239,45,36835358,D007231,"Infant, Newborn",M01,Persons
240,45,36835358,D002333,"Carnitine Acyltransferases",D08,"Enzymes and Coenzymes"
241,45,36835358,D026901,"Membrane Transport Proteins",D12,"Amino Acids, Peptides, and Proteins"
242,45,36835358,D033681,"Mitochondrial Membrane Transport Proteins",D12,"Amino Acids, Peptides, and Proteins"
243,45,36835358,D062105,"Molecular Docking Simulation",E05,"Investigative Techniques"
244,45,36835358,D062105,"Molecular Docking Simulation",L01,"Information Science"
245,45,36835358,D003198,"Computer Simulation",L01,"Information Science"
246,47,36702250,D000596,"Amino Acids",D12,"Amino Acids, Peptides, and Proteins"
247,47,36702250,D019032,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",E05,"Investigative Techniques"
248,47,36702250,D013379,"Substrate Specificity",G02,"Chemical Phenomena"
249,47,36702250,D000637,Transaminases,D08,"Enzymes and Coenzymes"
250,47,36702250,D057075,"Enzyme Assays",E05,"Investigative Techniques"
251,47,36702250,D017360,Arabidopsis,B01,Eukaryota
252,48,36833214,D019143,"Evolution, Molecular",G05,"Genetic Phenomena"
253,48,36833214,D019143,"Evolution, Molecular",G16,"Biological Phenomena"
254,48,36833214,D047668,Inteins,G02,"Chemical Phenomena"
255,48,36833214,D022761,"Gene Transfer, Horizontal",G05,"Genetic Phenomena"
256,48,36833214,D004720,Endonucleases,D08,"Enzymes and Coenzymes"
257,48,36833214,D004247,DNA,D13,"Nucleic Acids, Nucleotides, and Nucleosides"
258,49,36833171,D000818,Animals,B01,Eukaryota
259,49,36833171,D018076,"DNA, Complementary",D13,"Nucleic Acids, Nucleotides, and Nucleosides"
260,49,36833171,D018076,"DNA, Complementary",D27,"Chemical Actions and Uses"
261,49,36833171,D014714,Vertebrates,B01,Eukaryota
262,49,36833171,D005399,Fishes,B01,Eukaryota
263,49,36833171,D023281,Genomics,H01,"Natural Science Disciplines"
264,49,36833171,D004247,DNA,D13,"Nucleic Acids, Nucleotides, and Nucleosides"
265,49,36833171,D008322,Mammals,B01,Eukaryota
266,49,36833171,D019143,"Evolution, Molecular",G05,"Genetic Phenomena"
267,49,36833171,D019143,"Evolution, Molecular",G16,"Biological Phenomena"
268,55,36755098,D000818,Animals,B01,Eukaryota
269,55,36755098,D006801,Humans,B01,Eukaryota
270,55,36755098,D051379,Mice,B01,Eukaryota
271,55,36755098,D002454,"Cell Differentiation",G04,"Cell Physiological Phenomena"
272,55,36755098,D047108,"Embryonic Development",G07,"Physiological Phenomena"
273,55,36755098,D047108,"Embryonic Development",G08,"Reproductive and Urinary Physiological Phenomena"
274,55,36755098,D053263,"Gene Regulatory Networks",G05,"Genetic Phenomena"
275,55,36755098,D010641,Phenotype,G05,"Genetic Phenomena"
276,55,36755098,D014157,"Transcription Factors",D12,"Amino Acids, Peptides, and Proteins"
277,55,36755098,D015027,Zebrafish,B01,Eukaryota
278,55,36755098,D003198,"Computer Simulation",L01,"Information Science"
279,55,36755098,D008648,Mesoderm,A16,"Embryonic Structures"
280,55,36755098,D006410,Hematopoiesis,G04,"Cell Physiological Phenomena"
281,55,36755098,D006410,Hematopoiesis,G09,"Circulatory and Respiratory Physiological Phenomena"
282,57,36812310,D009231,Myxococcales,B03,Bacteria
283,57,36812310,D022001,"Focal Adhesions",A11,Cells
284,57,36812310,D018829,"Adhesins, Bacterial",D12,"Amino Acids, Peptides, and Proteins"
285,57,36812310,D018829,"Adhesins, Bacterial",D23,"Biological Factors"
286,57,36812310,D001422,"Bacterial Adhesion",G06,"Microbiological Phenomena"
287,57,36812310,D008074,Lipoproteins,D10,Lipids
288,57,36812310,D008074,Lipoproteins,D12,"Amino Acids, Peptides, and Proteins"
289,57,36812310,D001426,"Bacterial Proteins",D12,"Amino Acids, Peptides, and Proteins"
290,59,35337963,D000465,Algorithms,G17,"Mathematical Concepts"
291,59,35337963,D000465,Algorithms,L01,"Information Science"
292,59,35337963,D001921,Brain,A08,"Nervous System"
293,59,35337963,D001931,"Brain Mapping",E01,Diagnosis
294,59,35337963,D001931,"Brain Mapping",E05,"Investigative Techniques"
295,59,35337963,D016000,"Cluster Analysis",E05,"Investigative Techniques"
296,59,35337963,D016000,"Cluster Analysis",N05,"Health Care Quality, Access, and Evaluation"
297,59,35337963,D016000,"Cluster Analysis",N06,"Environment and Public Health"
298,59,35337963,D059907,"Functional Neuroimaging",E01,Diagnosis
299,59,35337963,D059907,"Functional Neuroimaging",E05,"Investigative Techniques"
300,59,35337963,D006801,Humans,B01,Eukaryota
301,59,35337963,D008279,"Magnetic Resonance Imaging",E01,Diagnosis
302,59,35337963,D009415,"Nerve Net",A08,"Nervous System"
303,60,36806650,D006801,Humans,B01,Eukaryota
304,60,36806650,D000081362,Lipidomics,H01,"Natural Science Disciplines"
305,60,36806650,D000075663,"Ion Mobility Spectrometry",E05,"Investigative Techniques"
306,60,36806650,D057188,Workflow,L01,"Information Science"
307,61,36806303,D000077321,"Deep Learning",G17,"Mathematical Concepts"
308,61,36806303,D000077321,"Deep Learning",L01,"Information Science"
309,61,36806303,D014783,Viscosity,G02,"Chemical Phenomena"
310,61,36806303,D000906,Antibodies,D12,"Amino Acids, Peptides, and Proteins"
311,61,36806303,D007135,"Immunoglobulin Variable Region",D12,"Amino Acids, Peptides, and Proteins"
312,61,36806303,D007135,"Immunoglobulin Variable Region",G02,"Chemical Phenomena"
313,61,36806303,D000077558,"Big Data",L01,"Information Science"
314,63,36758221,D000091582,"Biomolecular Condensates",A11,Cells
315,63,36758221,D007700,Kinetics,G01,"Physical Phenomena"
316,63,36758221,D007700,Kinetics,G02,"Chemical Phenomena"
317,63,36758221,D012995,Solubility,G02,"Chemical Phenomena"
318,63,36758221,D013500,"Surface Tension",G02,"Chemical Phenomena"
319,63,36758221,D013816,Thermodynamics,G01,"Physical Phenomena"
320,64,36797360,D000818,Animals,B01,Eukaryota
321,64,36797360,D051379,Mice,B01,Eukaryota
322,64,36797360,D006801,Humans,B01,Eukaryota
323,64,36797360,D059467,Transcriptome,G02,"Chemical Phenomena"
324,64,36797360,D059467,Transcriptome,G05,"Genetic Phenomena"
325,64,36797360,D020869,"Gene Expression Profiling",E05,"Investigative Techniques"
326,64,36797360,D015415,Biomarkers,D23,"Biological Factors"
327,65,36576247,D000818,Animals,B01,Eukaryota
328,65,36576247,D000375,Aging,G07,"Physiological Phenomena"
329,65,36576247,D008168,Lung,A04,"Respiratory System"
330,65,36576247,D008322,Mammals,B01,Eukaryota
331,67,36797293,D006801,Humans,B01,Eukaryota
332,67,36797293,D000086402,SARS-CoV-2,B04,Viruses
333,67,36797293,D000086742,"COVID-19 Testing",E01,Diagnosis
334,67,36797293,D000086742,"COVID-19 Testing",E05,"Investigative Techniques"
335,67,36797293,D000086382,COVID-19,C01,Infections
336,67,36797293,D000086382,COVID-19,C08,"Respiratory Tract Diseases"
337,67,36797293,D017132,Workplace,N01,"Population Characteristics"
338,67,36797293,D017132,Workplace,N04,"Health Services Administration"
339,68,36603764,D000818,Animals,B01,Eukaryota
340,68,36603764,D051379,Mice,B01,Eukaryota
341,68,36603764,D017209,Apoptosis,G04,"Cell Physiological Phenomena"
342,68,36603764,D051017,"Apoptosis Regulatory Proteins",D12,"Amino Acids, Peptides, and Proteins"
343,68,36603764,D051028,"bcl-2-Associated X Protein",D12,"Amino Acids, Peptides, and Proteins"
344,68,36603764,D051020,"bcl-X Protein",D12,"Amino Acids, Peptides, and Proteins"
345,68,36603764,D004721,"Endoplasmic Reticulum",A11,Cells
346,68,36603764,D008565,"Membrane Proteins",D12,"Amino Acids, Peptides, and Proteins"
347,68,36603764,D008928,Mitochondria,A11,Cells
348,68,36603764,D024101,"Mitochondrial Proteins",D12,"Amino Acids, Peptides, and Proteins"
349,68,36603764,D019253,"Proto-Oncogene Proteins c-bcl-2",D12,"Amino Acids, Peptides, and Proteins"
350,70,36700386,D006801,Humans,B01,Eukaryota
351,70,36700386,D045744,"Cell Line, Tumor",A11,Cells
352,70,36700386,D019008,"Drug Resistance, Neoplasm",G07,"Physiological Phenomena"
353,70,36700386,D020935,"MAP Kinase Signaling System",G02,"Chemical Phenomena"
354,70,36700386,D020935,"MAP Kinase Signaling System",G03,Metabolism
355,70,36700386,D020935,"MAP Kinase Signaling System",G03,"[OBSOLETE] Metabolic Phenomena"
356,70,36700386,D020935,"MAP Kinase Signaling System",G04,"Cell Physiological Phenomena"
357,70,36700386,D008545,Melanoma,C04,Neoplasms
358,70,36700386,D020929,"Mitogen-Activated Protein Kinase Kinases",D08,"Enzymes and Coenzymes"
359,70,36700386,D020929,"Mitogen-Activated Protein Kinase Kinases",D12,"Amino Acids, Peptides, and Proteins"
360,70,36700386,D009154,Mutation,G05,"Genetic Phenomena"
361,70,36700386,D009364,"Neoplasm Recurrence, Local",C04,Neoplasms
362,70,36700386,D009364,"Neoplasm Recurrence, Local",C23,"Pathological Conditions, Signs and Symptoms"
363,70,36700386,D047428,"Protein Kinase Inhibitors",D27,"Chemical Actions and Uses"
364,70,36700386,D040901,Proteomics,H01,"Natural Science Disciplines"
365,70,36700386,D048493,"Proto-Oncogene Proteins B-raf",D08,"Enzymes and Coenzymes"
366,70,36700386,D048493,"Proto-Oncogene Proteins B-raf",D12,"Amino Acids, Peptides, and Proteins"
367,73,35037199,D030541,"Databases, Genetic",L01,"Information Science"
368,73,35037199,D018745,"Genome, Plant",G05,"Genetic Phenomena"
369,73,35037199,D023281,Genomics,H01,"Natural Science Disciplines"
370,73,35037199,D058977,"Molecular Sequence Annotation",E05,"Investigative Techniques"
371,73,35037199,D058977,"Molecular Sequence Annotation",L01,"Information Science"
372,73,35037199,D010944,Plants,B01,Eukaryota
373,73,35037199,D012984,Software,L01,"Information Science"
374,75,36774359,D056004,"Molecular Dynamics Simulation",E05,"Investigative Techniques"
375,75,36774359,D056004,"Molecular Dynamics Simulation",G02,"Chemical Phenomena"
376,75,36774359,D056004,"Molecular Dynamics Simulation",L01,"Information Science"
377,75,36774359,D011487,"Protein Conformation",G02,"Chemical Phenomena"
378,75,36774359,D011506,Proteins,D12,"Amino Acids, Peptides, and Proteins"
379,75,36774359,D010455,Peptides,D12,"Amino Acids, Peptides, and Proteins"
380,75,36774359,D000069550,"Machine Learning",G17,"Mathematical Concepts"
381,75,36774359,D000069550,"Machine Learning",L01,"Information Science"
382,75,36774359,D064267,"Intrinsically Disordered Proteins",D12,"Amino Acids, Peptides, and Proteins"
383,80,36769135,D000975,Antioxidants,D23,"Biological Factors"
384,80,36769135,D000975,Antioxidants,D27,"Chemical Actions and Uses"
385,80,36769135,D017382,"Reactive Oxygen Species",D01,"Inorganic Chemicals"
386,80,36769135,D018384,"Oxidative Stress",G03,Metabolism
387,80,36769135,D018384,"Oxidative Stress",G03,"[OBSOLETE] Metabolic Phenomena"
388,80,36769135,D018384,"Oxidative Stress",G07,"Physiological Phenomena"
389,80,36769135,D049329,Nanostructures,J01,"Technology, Industry, and Agriculture"
390,80,36769135,D000465,Algorithms,G17,"Mathematical Concepts"
391,80,36769135,D000465,Algorithms,L01,"Information Science"
392,81,36515989,D000818,Animals,B01,Eukaryota
